Data,Time
0,856
10,524
20,487
30,548
40,487
50,473
60,510
70,536
80,495
90,512
100,487
110,472
120,578
130,490
140,478
150,490
160,480
170,488
180,536
190,508
200,482
210,510
220,490
230,474
240,502
250,517
260,503
270,500
280,552
290,535
300,482
310,577
320,513
330,490
340,498
350,607
360,574
370,564
380,516
390,479
400,476
410,566
420,474
430,488
440,475
450,472
460,473
470,490
480,489
490,473
500,474
510,509
520,505
530,486
540,495
550,491
560,478
570,486
580,481
590,479
600,481
610,473
620,475
630,525
640,499
650,473
660,476
670,476
680,476
690,472
700,477
710,479
720,473
730,491
740,527
750,527
760,483
770,482
780,483
790,482
800,483
810,483
820,473
830,483
840,478
850,472
860,471
870,472
880,474
890,478
900,472
910,471
920,492
930,496
940,481
950,475
960,484
970,476
980,484
990,471
1000,476
1010,475
1020,490
1030,487
1040,486
1050,475
1060,473
1070,471
1080,512
1090,495
1100,485
1110,485
1120,482
1130,523
1140,492
1150,481
1160,522
1170,487
1180,491
1190,473
1200,478
1210,490
1220,505
1230,483
1240,479
1250,497
1260,524
1270,487
1280,516
1290,482
1300,483
1310,472
1320,516
1330,482
1340,529
1350,482
1360,484
1370,478
1380,488
1390,498
1400,511
1410,485
1420,477
1430,474
1440,481
1450,473
1460,473
1470,472
1480,512
1490,485
1500,476
1510,521
1520,473
1530,483
1540,486
1550,484
1560,474
1570,503
1580,530
1590,485
1600,563
1610,572
1620,608
1630,478
1640,507
1650,476
1660,489
1670,499
1680,474
1690,473
1700,496
1710,489
1720,477
1730,492
1740,476
1750,517
1760,512
1770,485
1780,505
1790,517
1800,472
1810,472
1820,474
1830,482
1840,486
1850,489
1860,472
1870,473
1880,471
1890,473
1900,572
1910,475
1920,486
1930,485
1940,506
1950,496
1960,487
1970,491
1980,529
1990,512
2000,480
2010,479
2020,500
2030,523
2040,503
2050,505
2060,519
2070,562
2080,516
2090,543
2100,488
2110,502
2120,506
2130,479
2140,481
2150,481
2160,474
2170,477
2180,500
2190,472
2200,472
2210,525
2220,509
2230,473
2240,473
2250,510
2260,488
2270,481
2280,481
2290,487
2300,504
2310,498
2320,497
2330,488
2340,496
2350,482
2360,474
2370,475
2380,473
2390,475
2400,474
2410,473
2420,474
2430,497
2440,491
2450,473
2460,472
2470,474
2480,494
2490,520
2500,514
2510,503
2520,481
2530,475
2540,485
2550,471
2560,491
2570,519
2580,475
2590,478
2600,473
2610,473
2620,483
2630,474
2640,471
2650,482
2660,473
2670,538
2680,509
2690,640
2700,574
2710,607
2720,561
2730,490
2740,513
2750,476
2760,491
2770,474
2780,473
2790,476
2800,473
2810,473
2820,475
2830,473
2840,472
2850,474
2860,472
2870,521
2880,489
2890,486
2900,494
2910,473
2920,586
2930,611
2940,527
2950,600
2960,500
2970,503
2980,536
2990,509
3000,532
3010,476
3020,502
3030,494
3040,497
3050,502
3060,509
3070,577
3080,531
3090,486
3100,472
3110,539
3120,489
3130,536
3140,478
3150,495
3160,471
3170,473
3180,478
3190,504
3200,480
3210,474
3220,473
3230,499
3240,509
3250,581
3260,548
3270,497
3280,478
3290,507
3300,471
3310,491
3320,500
3330,481
3340,721
3350,529
3360,489
3370,478
3380,474
3390,473
3400,470
3410,470
3420,477
3430,490
3440,480
3450,509
3460,482
3470,489
3480,485
3490,509
3500,509
3510,512
3520,499
3530,479
3540,488
3550,481
3560,482
3570,484
3580,472
3590,485
3600,494
3610,515
3620,515
3630,480
3640,516
3650,490
3660,479
3670,487
3680,476
3690,502
3700,471
3710,474
3720,486
3730,508
3740,498
3750,484
3760,486
3770,492
3780,485
3790,500
3800,479
3810,515
3820,490
3830,480
3840,485
3850,485
3860,481
3870,484
3880,486
3890,478
3900,488
3910,483
3920,474
3930,505
3940,477
3950,473
3960,480
3970,471
3980,475
3990,473
4000,504
4010,477
4020,618
4030,542
4040,508
4050,479
4060,489
4070,489
4080,481
4090,485
4100,493
4110,470
4120,477
4130,474
4140,472
4150,473
4160,473
4170,492
4180,474
4190,474
4200,489
4210,471
4220,492
4230,490
4240,513
4250,472
4260,475
4270,485
4280,486
4290,473
4300,543
4310,498
4320,479
4330,470
4340,482
4350,477
4360,474
4370,474
4380,485
4390,502
4400,472
4410,565
4420,478
4430,479
4440,480
4450,485
4460,498
4470,485
4480,556
4490,509
4500,475
4510,482
4520,473
4530,473
4540,474
4550,543
4560,550
4570,537
4580,495
4590,484
4600,475
4610,490
4620,521
4630,763
4640,489
4650,493
4660,481
4670,477
4680,488
4690,490
4700,473
4710,476
4720,473
4730,500
4740,574
4750,483
4760,503
4770,480
4780,494
4790,503
4800,487
4810,481
4820,479
4830,487
4840,474
4850,486
4860,517
4870,474
4880,483
4890,496
4900,497
4910,533
4920,475
4930,496
4940,479
4950,483
4960,473
4970,473
4980,490
4990,489
5000,483
5010,481
5020,521
5030,538
5040,482
5050,490
5060,474
5070,488
5080,490
5090,472
5100,472
5110,472
5120,478
5130,472
5140,496
5150,472
5160,476
5170,473
5180,478
5190,496
5200,521
5210,475
5220,479
5230,474
5240,473
5250,535
5260,471
5270,472
5280,474
5290,482
5300,487
5310,474
5320,474
5330,473
5340,475
5350,472
5360,473
5370,525
5380,490
5390,480
5400,488
5410,504
5420,492
5430,486
5440,480
5450,510
5460,490
5470,491
5480,479
5490,472
5500,498
5510,495
5520,487
5530,473
5540,503
5550,474
5560,489
5570,511
5580,476
5590,478
5600,473
5610,486
5620,485
5630,474
5640,476
5650,473
5660,473
5670,478
5680,473
5690,472
5700,472
5710,478
5720,484
5730,473
5740,472
5750,477
5760,480
5770,499
5780,525
5790,625
5800,735
5810,668
5820,569
5830,474
5840,486
5850,473
5860,474
5870,479
5880,498
5890,471
5900,474
5910,475
5920,497
5930,502
5940,478
5950,495
5960,484
5970,531
5980,491
5990,479
6000,517
6010,490
6020,475
6030,534
6040,497
6050,476
6060,473
6070,473
6080,508
6090,487
6100,473
6110,486
6120,471
6130,474
6140,488
6150,499
6160,499
6170,485
6180,487
6190,476
6200,482
6210,479
6220,485
6230,498
6240,476
6250,478
6260,473
6270,483
6280,475
6290,503
6300,479
6310,477
6320,479
6330,480
6340,500
6350,482
6360,479
6370,477
6380,479
6390,474
6400,474
6410,475
6420,482
6430,478
6440,477
6450,480
6460,538
6470,488
6480,501
6490,506
6500,518
6510,482
6520,645
6530,521
6540,488
6550,480
6560,487
6570,484
6580,479
6590,548
6600,471
6610,475
6620,472
6630,472
6640,486
6650,472
6660,492
6670,480
6680,488
6690,494
6700,500
6710,769
6720,571
6730,557
6740,547
6750,550
6760,575
6770,521
6780,586
6790,552
6800,556
6810,561
6820,549
6830,513
6840,482
6850,500
6860,501
6870,523
6880,474
6890,514
6900,499
6910,506
6920,522
6930,505
6940,526
6950,563
6960,489
6970,668
6980,500
6990,540
7000,485
7010,482
7020,538
7030,501
7040,475
7050,507
7060,500
7070,551
7080,524
7090,555
7100,521
7110,582
7120,553
7130,549
7140,523
7150,559
7160,519
7170,504
7180,542
7190,507
7200,510
7210,552
7220,512
7230,527
7240,535
7250,521
7260,522
7270,577
7280,581
7290,511
7300,557
7310,500
7320,563
7330,521
7340,524
7350,503
7360,642
7370,527
7380,519
7390,583
7400,545
7410,583
7420,537
7430,566
7440,597
7450,509
7460,546
7470,499
7480,543
7490,510
7500,502
7510,498
7520,475
7530,486
7540,545
7550,534
