Data,Time
0,316
3,563
6,260
9,244
12,272
15,291
18,281
21,359
24,392
27,306
30,385
33,295
36,608
39,640
42,689
45,510
48,363
51,373
54,354
57,284
60,301
63,305
66,314
69,302
72,383
75,371
78,335
81,318
84,311
87,319
90,326
93,317
96,332
99,346
102,366
105,343
108,375
111,370
114,377
117,361
120,376
123,365
126,350
129,366
132,389
135,360
138,377
141,376
144,445
147,406
150,386
153,454
156,419
159,424
162,475
165,422
168,436
171,445
174,418
177,430
180,467
183,429
186,485
189,468
192,462
195,482
198,480
201,438
204,471
207,445
210,442
213,578
216,503
219,473
222,580
225,463
228,491
231,515
234,584
237,538
240,528
243,522
246,536
249,528
252,536
255,529
258,541
261,562
264,528
267,528
270,552
273,545
276,550
279,540
282,555
285,544
288,542
291,550
294,580
297,564
300,576
303,675
306,618
309,639
312,544
315,577
318,588
321,569
324,600
327,589
330,606
333,598
336,587
339,606
342,664
345,615
348,607
351,648
354,602
357,636
360,630
363,644
366,643
369,628
372,658
375,652
378,663
381,698
384,728
387,666
390,700
393,693
396,756
399,728
402,719
405,691
408,700
411,699
414,667
417,660
420,664
423,682
426,670
429,722
432,668
435,702
438,661
441,765
444,697
447,735
450,727
453,739
456,717
459,720
462,742
465,804
468,754
471,761
474,802
477,770
480,756
483,747
486,772
489,829
492,773
495,750
498,790
501,767
504,775
507,793
510,808
513,804
516,860
519,893
522,815
525,958
528,829
531,860
534,923
537,829
540,808
543,831
546,821
549,824
552,836
555,826
558,855
561,864
564,869
567,887
570,958
573,936
576,965
579,936
582,930
585,991
588,884
591,971
594,872
597,897
600,1011
603,1035
606,918
609,903
612,965
615,922
618,988
621,968
624,1028
627,992
630,1058
633,994
636,944
639,965
642,1008
645,1003
648,1009
651,981
654,1009
657,1029
660,1026
663,1007
666,976
669,1032
672,1047
675,1027
678,1064
681,1051
684,1061
687,1043
690,1411
693,1024
696,1083
699,1163
702,1160
705,1103
708,1054
711,1190
714,1059
717,1051
720,1063
723,1074
726,1061
