Data,Time
0,248
10,273
20,261
30,260
40,292
50,350
60,289
70,330
80,320
90,292
100,303
110,337
120,334
130,333
140,447
150,379
160,390
170,377
180,377
190,394
200,412
210,411
220,411
230,423
240,434
250,449
260,449
270,466
280,471
290,535
300,511
310,512
320,516
330,516
340,544
350,554
360,535
370,583
380,583
390,567
400,586
410,606
420,602
430,634
440,605
450,634
460,644
470,665
480,639
490,671
500,673
510,674
520,690
530,714
540,732
550,738
560,719
570,752
580,737
590,752
600,794
610,779
620,790
630,832
640,786
650,776
660,788
670,821
680,869
690,836
700,887
710,832
720,851
730,875
740,902
750,915
760,885
770,933
780,1021
790,927
800,961
810,977
820,1016
830,1030
840,1005
850,1043
860,1028
870,1144
880,1098
890,1066
900,1071
910,1057
920,1085
930,1091
940,1086
950,1079
960,1150
970,1161
980,1145
990,1201
1000,1210
1010,1192
1020,1198
1030,1181
1040,1193
1050,1193
1060,1178
1070,1208
1080,1227
1090,1392
1100,1362
1110,1678
1120,1472
1130,1653
1140,1437
1150,1300
1160,1308
1170,1319
1180,1363
1190,1423
1200,1362
1210,1445
1220,1687
1230,1509
1240,1452
1250,1427
