Iterations,Time
0,640
10,580
20,512
30,727
40,575
50,634
60,716
70,693
80,745
90,808
100,879
110,923
120,895
130,940
140,1029
150,1083
160,1077
170,1219
180,1190
190,1341
200,1358
210,1312
220,1327
230,1348
240,1463
250,1412
260,1557
270,1589
280,1608
290,1689
300,1708
310,1748
320,1805
330,1812
340,1842
350,1930
360,1911
370,2056
380,2072
390,2292
400,2724
410,2063
420,2207
430,2320
440,2331
450,2274
460,2445
470,2347
480,2428
490,2598
500,2650
510,2674
520,2715
530,2856
540,2796
550,2850
560,2952
570,3024
580,2991
590,2999
600,3047
610,3115
620,3586
630,4171
640,4105
650,3725
660,10754
670,4756
680,4891
690,5446
700,6548
710,4545
720,4378
730,10561
740,4917
750,3896
760,10418
770,5029
780,6731
790,4611
800,6007
810,5793
820,5050
830,4638
840,4840
850,4703
860,4180
870,4393
880,4589
890,4599
900,4404
910,4723
920,4838
930,5597
940,4835
950,4729
960,5063
970,4744
980,4888
990,4905
1000,5698
1010,5089
1020,5004
1030,5531
1040,5224
1050,5413
1060,5391
1070,5563
1080,5424
1090,5498
1100,5779
1110,6509
1120,6088
1130,6084
1140,5739
1150,6000
1160,6143
1170,5692
1180,5924
1190,6318
1200,6068
1210,6137
1220,6442
1230,5974
1240,6373
1250,6306
1260,6061
1270,6206
1280,6656
1290,6472
1300,6307
1310,6804
1320,6310
1330,6444
1340,7026
1350,6424
1360,6556
1370,6984
1380,6565
1390,6950
1400,6722
1410,6889
1420,6937
1430,6729
1440,7015
1450,7219
1460,6921
1470,6754
1480,7640
1490,7308
1500,7343
1510,7454
1520,7368
1530,7410
1540,7530
1550,7560
1560,7628
1570,7546
1580,7868
1590,7589
1600,7905
1610,7798
1620,7775
1630,7792
1640,8516
1650,8262
1660,7953
1670,8187
1680,8230
1690,8249
1700,8671
1710,7772
1720,8363
1730,8208
1740,8155
1750,8763
1760,8001
1770,9033
1780,8338
1790,8897
1800,8836
1810,8629
1820,8515
1830,8776
1840,9105
1850,8876
1860,8817
1870,8669
1880,9249
1890,9253
1900,9401
1910,8638
1920,9027
1930,9424
1940,8798
1950,9091
1960,8779
1970,9640
1980,9310
1990,11520
2000,9819
2010,9904
2020,9509
2030,9755
2040,9663
2050,10253
2060,9885
2070,10405
2080,10390
2090,10059
2100,10189
2110,9845
2120,10545
2130,9873
2140,10600
2150,10577
2160,10572
2170,10032
2180,10440
2190,10902
2200,10870
2210,10628
2220,10809
2230,10745
2240,10534
2250,11046
2260,10497
2270,10867
2280,10363
2290,11143
2300,11072
2310,11413
2320,11327
2330,11017
2340,11254
2350,10884
2360,11261
2370,11440
2380,11181
2390,11273
2400,11437
2410,11755
2420,10991
2430,11660
2440,11577
2450,11115
2460,12598
2470,11904
2480,11446
2490,11951
2500,11984
2510,11936
2520,11930
2530,11859
2540,12757
2550,11727
2560,11949
2570,12001
2580,12272
2590,12566
2600,11845
2610,13855
2620,12928
2630,12508
2640,12477
2650,12444
2660,12704
2670,12190
2680,12467
2690,13214
2700,12736
2710,13034
2720,12870
2730,12428
2740,13768
2750,13076
2760,12754
2770,12970
2780,13276
2790,13267
2800,13007
2810,13537
2820,13346
2830,13542
2840,14029
2850,13103
