Iterations,Time
0,437
10,457
20,479
30,540
40,593
50,1053
60,844
70,696
80,747
90,1111
100,821
110,851
120,1158
130,966
140,1007
150,1048
160,1085
170,1100
180,1336
190,3052
200,1330
210,1501
220,2083
230,1921
240,2363
250,1950
260,1966
270,2141
280,2823
290,2443
300,2996
310,3003
320,2731
330,10220
340,3072
350,4739
360,3072
370,1919
380,2020
390,2000
400,2045
410,2625
420,2133
430,2300
440,2276
450,2821
460,4095
470,2397
480,7837
490,3623
500,2698
510,2781
520,2709
530,3277
540,2701
550,12953
560,3174
570,10568
580,4118
590,4341
600,4888
610,3325
620,3148
630,3089
640,3236
650,3295
660,3561
670,3143
680,3511
690,3374
700,3286
710,5146
720,10871
730,3511
740,3857
750,3599
760,3595
770,5838
780,5778
790,3929
800,6064
810,4141
820,4186
830,6943
840,4377
850,4386
860,4404
870,4468
880,4229
890,4185
900,4230
910,4279
920,4187
930,4315
940,4521
950,4364
960,4371
970,7602
980,4529
990,4528
1000,4523
1010,4601
1020,4586
1030,4663
1040,4704
1050,5311
1060,4749
1070,4850
1080,4833
1090,5526
1100,5309
1110,5535
1120,5817
1130,5174
1140,5420
1150,5182
1160,5495
1170,5205
1180,6912
1190,7344
1200,5536
1210,7116
1220,6896
1230,5541
1240,5719
1250,5578
1260,5819
1270,6307
1280,8242
1290,6126
1300,7461
1310,9139
1320,6584
1330,6675
1340,6708
1350,5985
1360,7401
1370,6131
1380,8755
1390,6130
1400,6459
1410,6223
1420,6299
1430,6392
1440,6359
1450,6441
1460,6359
1470,7253
1480,6619
1490,6745
1500,13268
1510,10349
1520,7017
1530,6644
1540,6718
1550,6754
1560,6796
1570,7098
1580,7072
1590,7030
1600,7052
1610,7637
1620,8790
1630,7157
1640,7203
1650,7236
1660,7269
1670,7323
1680,7508
1690,7343
1700,8016
1710,11268
1720,8320
1730,7570
1740,7626
1750,7634
1760,7617
1770,7771
1780,7679
1790,7944
1800,22730
1810,9175
1820,8490
1830,7996
1840,8375
1850,8763
1860,8610
1870,12206
1880,8644
1890,8298
1900,11436
1910,10554
1920,14223
1930,8723
1940,8397
1950,9224
1960,8529
1970,8458
1980,8500
1990,8590
2000,36059
2010,9417
2020,9810
2030,12068
2040,9194
2050,26097
2060,12982
2070,9372
2080,9274
2090,9062
2100,9733
2110,80844
2120,16585
2130,68016
2140,9777
2150,50879
2160,18572
2170,9437
2180,14309
2190,14154
2200,27976
2210,30747
2220,15806
2230,12125
2240,26178
2250,13931
2260,23050
2270,18588
2280,16829
2290,22731
2300,15634
2310,35026
2320,11175
2330,12817
2340,10148
2350,35162
2360,10185
2370,10198
2380,10360
2390,10350
2400,10382
2410,11606
2420,11438
2430,10712
2440,10445
2450,12063
2460,11241
2470,11571
2480,10828
2490,10908
2500,14169
2510,13412
2520,12857
2530,11363
2540,12010
2550,11899
2560,13210
2570,12469
2580,57528
2590,11116
2600,11512
2610,12201
2620,12150
2630,13207
2640,53519
2650,12623
2660,11353
2670,12057
2680,13241
2690,13444
2700,51044
2710,14161
2720,14330
2730,11939
2740,12461
2750,12427
2760,12704
2770,11915
2780,15559
2790,11976
2800,12031
2810,12526
2820,12256
2830,12251
2840,13269
2850,12273
2860,13371
2870,23601
2880,13505
2890,12654
2900,12555
2910,12779
2920,12395
2930,12533
2940,12571
2950,275391
2960,13796
2970,13871
2980,13918
2990,13609
3000,13240
3010,13203
3020,12812
3030,12841
3040,14107
3050,12911
3060,13790
3070,13012
3080,13221
3090,13212
3100,13216
3110,13875
3120,13278
3130,13311
3140,13311
3150,29121
3160,13355
3170,20593
3180,23567
3190,15038
3200,16857
3210,19346
3220,13712
3230,13767
3240,21374
3250,19898
3260,13835
3270,13953
3280,117005
3290,73526
3300,27954
3310,64786
3320,91060
3330,14290
3340,14799
3350,14942
3360,16979
3370,21492
3380,17607
3390,20769
3400,15005
3410,15099
3420,15551
3430,14485
3440,14521
3450,207126
3460,14817
3470,14697
3480,41972
3490,17330
3500,36802
3510,19364
3520,19451
3530,16886
3540,15293
3550,20047
3560,34337
3570,16389
3580,23521
3590,28456
3600,23708
3610,25089
3620,23265
3630,24021
3640,20392
3650,29390
3660,16803
3670,16765
3680,20079
3690,22677
3700,17703
3710,19123
3720,27022
3730,17180
3740,17698
3750,24334
3760,21978
3770,15838
3780,51866
3790,25465
3800,19860
3810,18401
3820,45002
3830,21993
3840,16843
3850,32549
3860,36732
3870,26023
3880,25065
3890,18445
3900,18860
3910,40222
3920,21819
3930,18209
3940,16873
3950,23314
3960,29108
3970,29406
3980,23417
3990,72971
4000,27968
4010,17926
4020,57417
4030,17546
4040,22137
4050,18174
4060,32895
4070,25830
4080,22134
4090,21149
4100,18322
4110,18603
4120,32443
4130,22383
4140,26928
4150,22443
4160,20944
4170,17503
4180,19149
4190,17630
4200,17549
4210,17598
4220,18129
4230,17655
4240,17765
4250,20774
4260,19266
4270,20277
4280,19949
4290,18541
4300,17934
4310,17976
4320,18016
4330,20915
4340,21604
4350,20882
4360,18541
4370,18306
4380,18270
4390,18304
4400,21537
4410,19156
4420,18427
4430,18476
4440,18492
4450,18538
4460,18715
4470,23134
4480,18674
4490,20537
4500,20557
4510,18795
4520,18910
4530,18951
4540,18989
4550,27539
4560,23598
4570,23042
4580,19177
4590,19111
4600,21921
4610,22626
4620,20674
4630,26463
4640,29738
4650,24497
4660,22233
4670,22176
4680,21276
4690,22433
4700,30447
4710,24015
4720,20042
4730,21556
4740,23664
4750,25634
4760,19977
4770,20002
4780,20057
4790,20160
4800,20976
4810,20257
4820,22743
4830,22997
4840,22069
4850,24558
4860,23129
4870,24227
4880,20457
4890,20621
4900,20538
4910,20587
4920,20619
4930,20787
4940,22525
4950,22183
4960,23360
4970,20996
4980,20960
4990,20899
5000,20952
5010,28485
5020,23291
5030,22965
5040,21316
5050,21155
5060,21201
5070,23411
5080,24990
5090,21307
5100,21337
5110,21447
5120,21422
5130,21633
5140,26206
5150,24563
5160,23628
5170,24596
5180,21848
5190,21920
5200,24536
5210,21954
5220,21983
5230,22045
5240,22153
5250,22174
5260,25520
5270,25865
5280,22244
5290,22382
5300,24081
5310,22381
5320,30746
5330,34938
5340,33611
5350,23198
5360,23225
5370,47520
5380,23747
5390,23698
5400,65101
5410,23842
5420,25363
5430,32229
5440,25464
5450,26043
5460,31295
5470,23711
5480,35467
5490,27573
5500,23254
5510,23255
5520,23204
5530,31591
5540,23293
5550,25128
5560,23406
5570,23521
5580,23562
5590,31205
5600,26432
5610,23800
5620,23784
5630,23984
5640,23788
5650,26365
5660,23806
5670,23904
5680,23871
5690,23995
5700,23946
5710,24598
5720,24156
5730,24075
5740,24115
5750,24248
5760,24280
5770,27285
5780,28342
5790,27583
5800,39358
5810,29101
5820,29998
5830,27203
5840,25550
5850,24555
5860,24603
5870,37588
5880,27428
5890,24714
5900,24758
5910,24944
5920,29403
5930,27842
5940,27418
5950,24979
5960,25092
5970,25126
5980,38841
5990,30322
6000,26427
6010,26495
6020,35089
6030,38357
6040,32372
6050,25379
6060,37940
6070,28438
6080,27388
6090,25545
6100,25579
6110,29538
6120,28735
6130,26468
6140,25828
6150,30271
6160,26401
6170,25864
6180,25892
6190,25949
6200,26010
6210,29701
6220,29590
6230,28552
6240,31309
6250,30739
6260,30168
6270,26264
6280,26332
6290,26370
6300,26400
6310,30994
6320,30162
6330,30082
6340,27055
6350,26678
6360,35560
6370,32548
6380,26823
6390,26773
6400,26797
6410,29732
6420,26890
6430,26915
6440,28848
6450,30017
6460,32985
6470,27240
6480,27128
6490,27249
6500,29105
6510,35147
6520,31760
6530,31336
6540,27360
6550,27451
6560,32011
6570,30517
6580,29391
6590,27573
6600,27632
6610,43398
6620,29008
6630,29537
6640,28398
6650,37970
6660,33223
6670,28468
6680,28138
6690,37303
6700,43957
6710,54847
6720,32175
6730,28395
6740,28791
6750,28325
6760,30220
6770,39965
6780,33653
6790,30874
6800,28528
6810,32345
6820,28537
6830,28629
6840,28591
6850,28717
6860,31598
6870,33931
6880,29733
6890,28888
6900,28852
6910,31133
6920,28941
6930,28970
6940,28996
6950,29326
6960,30953
6970,29133
6980,29174
6990,29352
7000,29243
7010,31720
7020,30449
7030,29385
7040,30078
7050,29497
7060,36825
7070,31096
7080,29566
7090,29718
7100,36779
7110,33153
7120,32572
7130,29797
7140,29827
7150,32506
7160,29891
7170,30088
7180,31485
7190,30127
7200,35166
7210,32998
7220,32240
7230,30491
7240,39634
7250,40138
7260,31755
7270,30363
7280,45696
7290,34572
7300,37346
7310,44800
7320,36623
7330,33879
7340,61997
7350,31499
7360,31927
7370,38095
7380,35344
7390,30847
7400,30863
7410,31477
7420,35794
7430,30992
7440,31158
7450,31556
7460,36231
7470,35543
7480,32317
7490,31254
7500,31421
7510,32018
7520,31355
7530,31394
7540,31464
7550,34419
7560,32414
7570,31892
7580,31593
7590,31661
7600,35948
7610,34901
7620,31868
7630,31825
7640,34373
7650,34916
7660,31917
7670,31962
7680,35143
7690,38352
7700,35463
7710,32162
7720,32283
7730,42121
7740,32281
7750,32311
7760,32473
7770,47488
7780,42933
7790,33061
7800,35184
7810,46020
7820,39685
7830,35591
7840,39814
7850,32836
7860,32766
7870,33249
7880,39612
7890,37496
7900,34998
7910,33027
7920,36581
7930,33044
7940,33091
7950,33208
7960,33186
7970,39519
7980,34724
7990,33304
8000,33494
8010,35558
8020,34340
8030,33484
8040,33608
8050,34822
8060,33632
8070,33606
8080,33727
8090,35236
8100,33742
8110,33776
8120,33899
8130,33938
8140,50279
8150,36500
8160,33991
8170,34555
8180,47526
8190,36954
8200,34309
8210,34274
8220,35840
8230,34297
8240,34420
8250,34377
8260,38100
8270,36762
8280,34497
8290,34686
8300,42449
8310,43398
8320,35184
8330,37690
8340,54754
8350,56630
8360,46096
8370,41022
8380,35071
8390,34926
8400,41666
8410,40742
8420,35043
8430,35167
8440,40447
8450,35166
8460,35345
8470,35367
8480,38822
8490,40597
8500,35506
8510,35421
8520,37278
8530,35494
8540,35539
8550,35662
8560,40587
8570,36642
8580,35714
8590,35825
8600,39788
8610,41057
8620,37001
8630,36037
8640,38905
8650,36105
8660,36043
8670,41059
8680,51351
8690,40829
8700,40194
8710,37136
8720,37427
8730,36354
8740,36516
8750,43399
8760,40631
8770,36505
8780,36527
8790,40844
8800,50889
8810,36818
8820,41494
8830,88769
8840,39174
8850,48344
8860,36950
8870,38850
8880,41736
8890,41582
8900,37126
8910,37082
8920,41747
8930,37264
8940,37200
8950,37249
8960,37722
8970,39050
8980,39150
8990,37383
9000,41858
9010,38754
9020,37499
9030,41868
9040,39465
9050,37638
9060,37834
9070,50914
9080,45292
9090,37817
9100,37848
9110,40502
9120,37906
9130,41541
9140,48936
9150,43285
9160,40601
9170,38136
9180,39671
9190,38251
9200,38308
9210,38356
9220,47825
9230,39756
9240,38388
9250,42738
9260,47842
9270,43547
9280,38699
9290,73674
9300,47717
9310,55898
9320,39382
9330,39584
9340,46704
9350,45584
9360,40662
9370,38953
9380,42507
9390,39124
9400,39062
9410,40381
9420,45259
9430,41941
9440,39445
9450,41017
9460,41232
9470,39331
9480,39539
9490,46117
9500,41868
9510,39724
9520,43135
9530,39596
9540,41520
9550,39689
9560,44895
9570,41702
9580,39812
9590,42461
9600,39932
9610,42804
9620,40070
9630,46451
9640,40558
9650,40220
9660,43229
9670,50894
9680,42054
9690,42087
9700,53157
9710,53094
9720,41229
9730,83535
9740,44628
9750,50568
9760,43420
9770,40747
9780,48528
9790,43431
9800,40717
9810,41315
9820,43420
9830,42527
9840,40869
9850,44559
9860,40951
9870,41070
9880,42859
9890,46106
9900,46879
9910,41153
9920,43296
9930,51746
9940,48102
9950,51110
9960,43564
9970,41372
9980,44015
9990,41480
