Data,IOPS
0,0
1,1.81818e+06
2,3.55872e+06
3,1.30605e+06
4,8.08081e+06
5,9.96016e+06
6,1.13852e+07
7,1.36719e+07
8,1.63265e+07
9,1.81818e+07
10,2e+07
11,2.19124e+07
12,2.41449e+07
13,2.57426e+07
14,2.1374e+07
15,2.21566e+07
16,2.36337e+07
17,2.34483e+07
18,2.49307e+07
19,2.65734e+07
20,3.16456e+07
21,3.03468e+07
22,3.28358e+07
23,2.9601e+07
24,3.72093e+07
25,3.89408e+07
26,4.08163e+07
27,5.34653e+07
28,5.54455e+07
29,5.83501e+07
30,4.44444e+07
31,3.17298e+07
32,4.70588e+07
33,4.60251e+07
34,5.33752e+07
35,4.74898e+07
36,4.0678e+07
37,5.38574e+07
38,5.5313e+07
39,3.97959e+07
40,5.35475e+07
41,7.36086e+07
42,4.41176e+07
43,8.82957e+07
44,9.07216e+07
45,8.96414e+07
46,6.21622e+07
47,9.12621e+07
48,9.46746e+07
49,9.57031e+07
50,9.76563e+07
51,1.02616e+08
52,1.06776e+08
53,1.0495e+08
54,1.09091e+08
55,1.08481e+08
56,1.11554e+08
57,8.26087e+07
58,8.46715e+07
59,8.52601e+07
60,8.67052e+07
61,8.59155e+07
62,8.83191e+07
63,1.28571e+08
64,1.33333e+08
65,1.37712e+08
66,1.21771e+08
67,9.64029e+07
68,1.32039e+08
69,1.34766e+08
70,1.4e+08
71,1.08397e+08
72,1.07463e+08
73,1.3594e+08
74,1.42308e+08
75,1.5e+08
76,1.56057e+08
77,1.58111e+08
78,1.60825e+08
79,1.61224e+08
80,1.59363e+08
81,1.61355e+08
82,1.13889e+08
83,1.69388e+08
84,1.73196e+08
85,1.72764e+08
86,1.30898e+08
87,1.78645e+08
88,1.78862e+08
89,1.81633e+08
90,1.86722e+08
91,1.86858e+08
92,1.85859e+08
93,1.90965e+08
94,1.93018e+08
95,1.95876e+08
96,1.9917e+08
97,2e+08
98,2.0332e+08
99,2e+08
100,1.46628e+08
101,1.50298e+08
102,1.83784e+08
103,1.38814e+08
104,1.54074e+08
105,1.72982e+08
106,2.09901e+08
107,1.98148e+08
108,2e+08
109,2.03738e+08
110,2.26804e+08
111,2.3125e+08
112,2.30928e+08
113,2.251e+08
114,2.28e+08
115,1.58621e+08
116,1.77099e+08
117,2.34e+08
118,1.71014e+08
119,1.66434e+08
120,1.81269e+08
121,1.8417e+08
122,1.87692e+08
123,1.81684e+08
124,1.80495e+08
125,1.78571e+08
126,1.8e+08
127,1.83526e+08
128,1.8963e+08
129,1.82461e+08
130,1.83876e+08
131,2.6626e+08
132,2.13938e+08
133,1.40741e+08
134,2.59188e+08
135,2.63672e+08
136,2.63056e+08
137,1.95157e+08
138,7.7095e+07
139,1.7662e+08
140,2.78884e+08
141,2.90722e+08
142,2.95833e+08
143,3.02966e+08
144,2.96907e+08
145,2.87129e+08
146,2.89109e+08
147,2.9878e+08
148,3.00813e+08
149,3.0101e+08
150,3.09278e+08
151,3.08163e+08
152,3.12115e+08
153,3.1875e+08
154,3.14286e+08
155,3.15041e+08
156,3.18367e+08
157,3.17172e+08
158,3.17907e+08
159,3.29876e+08
160,3.25203e+08
161,3.28571e+08
162,2.97248e+08
163,2.45113e+08
164,3.03704e+08
165,3.02752e+08
166,3.04587e+08
167,1.86176e+08
168,2.34965e+08
169,3.10092e+08
170,3.50515e+08
171,3.52577e+08
172,3.49593e+08
173,3.56701e+08
174,3.43195e+08
175,3.63071e+08
176,3.66667e+08
177,3.59756e+08
178,3.63265e+08
179,3.67556e+08
180,3.75e+08
181,3.79455e+08
182,3.6255e+08
183,2.76435e+08
184,2.69795e+08
185,2.58741e+08
186,2.59414e+08
187,2.60809e+08
188,2.57534e+08
189,3.84146e+08
190,2.90076e+08
191,3.03175e+08
192,3.58879e+08
193,2.4586e+08
194,3.68121e+08
195,2.95455e+08
196,2.45e+08
197,2.93155e+08
198,3.56757e+08
199,3.63803e+08
200,3.72439e+08
201,4.12731e+08
202,4.16495e+08
203,4.18557e+08
204,4.32203e+08
205,4.34322e+08
206,4.29167e+08
207,4.3125e+08
208,4.11881e+08
209,4.3361e+08
210,4.44915e+08
211,4.44211e+08
212,4.41667e+08
213,4.48421e+08
214,4.50526e+08
215,4.43299e+08
216,4.48133e+08
217,4.3662e+08
218,4.44898e+08
219,4.5625e+08
220,4.38247e+08
221,4.60417e+08
222,2.81013e+08
223,4.64583e+08
224,4.61856e+08
225,4.6875e+08
226,4.6888e+08
227,4.68041e+08
228,4.68172e+08
229,4.72165e+08
230,4.84211e+08
231,4.8125e+08
232,4.81328e+08
233,4.85417e+08
234,4.875e+08
235,2.72622e+08
236,3.59209e+08
237,4.34862e+08
238,4.60348e+08
239,2.0837e+08
240,3.79747e+08
241,3.76563e+08
242,4.60952e+08
243,4.52514e+08
244,4.54376e+08
245,5.0308e+08
246,5.02041e+08
247,5.02033e+08
248,3.45886e+08
249,3.74436e+08
250,3.56125e+08
251,3.46207e+08
252,3.56436e+08
253,3.69343e+08
254,3.79104e+08
255,3.72263e+08
256,3.78139e+08
257,5.19192e+08
258,3.82222e+08
259,3.47651e+08
260,3.57634e+08
261,3.81022e+08
262,3.81368e+08
263,5.20792e+08
264,5.22772e+08
265,4.0458e+08
266,3.87191e+08
267,5.21484e+08
268,5.1341e+08
269,3.3625e+08
270,2.70812e+08
271,4.79646e+08
272,4.85714e+08
273,4.96364e+08
274,5.48e+08
275,5.42406e+08
276,5.39063e+08
277,5.43137e+08
278,5.48323e+08
279,5.47059e+08
280,4.86957e+08
281,5.79381e+08
282,4.72362e+08
283,5.66e+08
284,5.71429e+08
285,5.75758e+08
286,4.36641e+08
287,4.18978e+08
288,4.17391e+08
289,5.99585e+08
290,4.05594e+08
291,3.84412e+08
292,4e+08
293,5.95528e+08
294,4.18803e+08
295,4.08587e+08
296,4.1573e+08
297,4.35484e+08
298,6.0202e+08
299,3.22546e+08
300,3.52941e+08
301,5.32743e+08
302,5.52102e+08
303,5.71698e+08
304,4.29986e+08
305,5.89942e+08
306,5.97656e+08
307,6.26531e+08
308,6.19718e+08
309,4.54412e+08
310,4.44763e+08
311,6.22e+08
312,4.69173e+08
313,6.38776e+08
314,6.38211e+08
315,6.53527e+08
316,6.35815e+08
317,6.40404e+08
318,4.56241e+08
319,4.65693e+08
320,4.69208e+08
321,4.58571e+08
322,4.38095e+08
