Data,Time
0,525
1,430
2,402
3,380
4,382
5,360
6,375
7,870
8,380
9,415
10,400
11,407
12,402
13,387
14,387
15,385
16,372
17,360
18,352
19,355
20,385
21,385
22,365
23,357
24,347
25,362
26,345
27,400
28,410
29,405
30,407
31,400
32,405
33,357
34,355
35,355
36,352
37,407
38,412
39,422
40,550
41,352
42,470
43,430
44,412
45,417
46,397
47,380
48,395
49,395
50,400
51,400
52,397
53,390
54,617
55,397
56,382
57,385
58,405
59,400
60,365
61,380
62,335
63,345
64,342
65,335
66,345
67,402
68,400
69,402
70,380
71,505
72,350
73,477
74,382
75,360
76,352
77,367
78,362
79,375
80,362
81,402
82,407
83,405
84,400
85,405
86,407
87,372
88,385
89,372
90,362
91,567
92,350
93,350
94,372
95,380
96,402
97,405
98,387
99,387
100,402
101,397
102,382
103,3440
104,337
105,372
106,425
107,382
108,622
109,365
110,370
111,407
112,400
113,377
114,377
115,397
116,642
117,407
118,395
119,405
120,402
121,382
122,385
123,407
124,410
125,402
126,405
127,405
128,415
129,337
130,342
131,372
132,360
133,360
134,635
135,367
136,512
137,405
138,380
139,390
140,392
141,400
142,407
143,382
144,365
145,370
146,342
147,340
148,367
149,362
150,352
151,352
152,342
153,332
154,332
155,365
156,365
157,532
158,410
159,340
160,362
161,377
162,400
163,410
164,485
165,362
166,600
167,435
168,407
169,397
170,405
171,407
172,402
173,335
174,350
175,375
176,380
177,370
178,355
179,372
180,372
181,365
182,595
183,332
184,587
185,342
186,337
187,570
188,337
189,640
190,570
191,572
192,572
193,505
194,652
195,622
196,375
197,342
198,340
199,337
200,337
201,332
202,327
203,342
204,340
205,332
206,335
207,350
208,382
209,425
210,377
211,357
212,380
213,377
214,410
215,387
216,377
217,377
218,360
219,360
220,360
221,375
222,352
223,367
224,392
225,1017
226,380
227,375
228,552
229,1140
230,357
231,372
232,350
233,355
234,557
235,352
236,345
237,345
238,395
239,385
240,365
241,365
242,400
243,402
244,390
245,380
246,370
247,370
248,362
249,342
250,342
251,357
252,400
253,402
254,395
255,407
256,747
257,377
258,770
259,475
260,345
261,347
262,377
263,365
264,532
265,365
266,387
267,380
268,375
269,377
270,380
271,367
272,352
273,360
274,350
275,367
276,355
277,365
278,352
279,345
280,345
281,365
282,347
283,342
284,352
285,367
286,382
287,542
288,407
289,815
290,407
291,387
292,367
293,355
294,357
295,445
296,337
297,340
298,347
299,377
300,352
301,355
302,357
303,340
304,455
305,340
306,342
307,340
308,380
309,390
310,362
311,337
312,352
313,350
314,352
315,575
316,342
317,342
318,347
319,400
320,647
321,365
322,340
323,707
324,407
325,385
326,347
327,405
328,410
329,405
330,380
331,397
332,395
333,407
334,402
335,405
336,360
337,365
338,397
339,412
340,402
341,380
342,377
343,342
344,332
345,337
346,335
347,350
348,562
349,370
350,1292
351,445
352,375
353,340
354,332
355,337
356,335
357,360
358,332
359,340
360,340
361,337
362,685
363,362
364,332
365,345
366,332
367,335
368,332
369,340
370,335
371,335
372,330
373,332
374,337
375,567
376,337
377,412
378,382
379,405
380,477
381,387
382,392
383,380
384,410
385,402
386,422
387,400
388,405
389,382
390,380
391,347
392,352
393,332
394,332
395,405
396,407
397,340
398,330
399,335
400,352
401,347
402,350
403,335
404,347
405,337
406,330
407,335
408,825
409,510
410,345
411,512
412,415
413,365
414,352
415,350
416,360
417,332
418,345
419,340
420,355
421,402
422,405
423,400
424,770
425,370
426,400
427,340
428,335
429,350
430,347
431,332
432,340
433,402
434,400
435,385
436,377
437,365
438,360
439,422
440,500
441,365
442,460
443,430
444,392
445,367
446,367
447,352
448,342
449,340
450,342
451,340
452,332
453,342
454,345
455,340
456,342
457,337
458,335
459,330
460,720
461,332
462,337
463,335
464,330
465,332
466,342
467,342
468,342
469,350
470,372
471,350
472,527
473,355
474,445
475,442
476,370
477,345
478,345
479,372
480,357
481,335
482,342
483,567
484,365
485,345
486,495
487,357
488,352
489,342
490,345
491,400
492,400
493,400
494,397
495,397
496,382
497,382
498,327
499,352
500,397
501,1060
502,585
503,380
504,500
505,777
506,340
507,352
508,337
509,350
510,350
511,337
512,345
513,335
514,345
515,337
516,352
517,522
518,395
519,392
520,387
521,397
522,402
523,365
524,625
525,397
526,352
527,355
528,357
529,342
530,430
531,505
532,372
533,500
534,365
535,412
536,407
537,377
538,397
539,405
540,412
541,397
542,400
543,360
544,372
545,357
546,335
547,580
548,330
549,577
550,335
551,575
552,405
553,335
554,495
555,332
556,355
557,387
558,370
559,512
560,395
561,375
562,342
563,382
564,400
565,412
566,417
567,620
568,400
569,392
570,375
571,342
572,332
573,375
574,342
575,335
576,337
577,342
578,340
579,415
580,387
581,385
582,385
583,435
584,562
585,375
586,740
587,365
588,380
589,395
590,375
591,370
592,405
593,392
594,360
595,372
596,345
597,325
598,345
599,337
600,335
601,340
602,350
603,390
604,385
605,365
606,360
607,380
608,390
609,365
610,400
611,525
612,385
613,377
614,582
615,597
616,410
617,355
618,365
619,352
620,365
621,392
622,355
623,340
624,332
625,355
626,360
627,342
628,350
629,357
630,355
631,355
632,402
633,532
634,407
635,500
636,490
637,595
638,357
639,397
640,1622
641,395
642,385
643,367
644,362
645,400
646,390
647,350
648,365
649,355
650,360
651,355
652,347
653,355
654,350
655,342
656,365
657,370
658,347
659,365
660,355
661,355
662,365
663,355
664,395
665,607
666,362
667,367
668,562
669,405
670,410
671,360
672,360
673,357
674,360
675,362
676,362
677,350
678,345
679,347
680,350
681,342
682,352
683,360
684,365
685,360
686,357
687,512
688,355
689,337
690,337
691,350
692,372
693,362
694,1692
695,355
696,575
697,457
698,397
699,352
700,347
701,357
702,340
703,407
704,402
705,400
706,352
707,352
708,372
709,410
710,397
711,360
712,360
713,405
714,407
715,372
716,402
717,397
718,567
719,392
720,440
721,565
722,407
723,365
724,380
725,372
726,365
727,342
728,587
729,342
730,587
731,345
732,482
733,347
734,335
735,340
736,340
737,342
738,337
739,345
740,377
741,390
742,470
743,442
744,380
745,407
746,415
747,400
748,380
749,390
750,385
751,347
752,345
753,340
754,347
755,345
756,340
757,410
758,412
759,362
760,567
761,330
762,340
763,337
764,342
765,332
766,337
767,342
768,367
769,397
770,487
771,400
772,575
773,362
774,342
775,347
776,407
777,382
778,377
779,405
780,400
781,377
782,345
783,360
784,552
785,352
786,340
787,342
788,335
789,347
790,390
791,387
792,410
793,440
