Data,MIOPS
0,0
1,4.03226
2,6.51466
3,4.4843
4,14.1844
5,13.1579
6,19.8675
7,22.2222
8,22.0386
9,25.0696
10,29.4118
11,33.5366
12,36.2538
13,34.0314
14,36.4583
15,31.3808
16,41.8848
17,35.7143
18,36.961
19,39.8323
20,39.7614
21,42.0842
22,44.0882
23,45.9082
24,40.6091
25,41.2541
26,42.8336
27,51.6252
28,51.0018
29,55.5556
30,52.7241
31,50.1618
32,46.5793
33,47.3458
34,48.1586
35,52.5526
36,57.0523
37,57.6324
38,57.9268
39,50.9138
40,51.4139
41,40.5539
42,51.5337
43,55.1282
44,51.9481
45,50.905
46,34.6647
47,59.0452
48,62.2568
49,58.1948
50,63.0517
51,61.2245
52,66.7522
53,63.3214
54,62.9371
55,63.9535
56,59.448
57,60.1266
58,59.9174
59,64.978
60,62.8931
61,64.0084
62,63.5897
63,68.7023
64,68.0851
65,66.8724
66,67.8314
67,64.2378
68,59.2851
69,66.7957
70,63.1769
71,72.3014
72,69.6325
73,73.1463
74,60.9053
75,65.8472
76,61.0932
77,73.6138
78,66.383
79,65.1278
80,73.5294
81,73.7034
82,61.8401
83,70.9402
84,66.8258
85,54.2092
86,65.5988
87,65.9091
88,75.5365
89,75.3599
90,75.4401
91,74.8355
92,75.7202
93,73.8681
94,76.0518
95,75.9392
96,76.555
97,77.9116
98,76.8025
99,74.8299
100,75.815
101,76.3994
102,69.435
103,61.1639
104,73.7066
105,58.3982
106,70.5256
107,75.4052
108,65.2568
109,72.5699
110,76.1246
111,78.2241
112,78.1032
113,76.5064
114,70.5009
115,68.2493
116,76.3158
117,74.952
118,74.6835
119,70.8755
120,56.2588
121,72.7163
122,70.3576
123,78.9981
124,79.5382
125,75.9878
126,66.9856
127,66.4574
128,76.6926
129,60.4215
130,72.5446
131,79.9756
132,77.6014
133,68.6275
134,66.6335
135,77.4083
136,79.906
137,79.6049
138,65.6205
139,76.1644
140,79.7267
141,79.258
142,72.3014
143,79.7546
144,75.3927
145,78.4632
146,79.825
147,77.6545
148,55.4931
149,74.8744
150,73.1707
151,79.3484
152,73.2177
153,80.2728
154,79.8341
155,80.5613
156,37.2404
157,75.5898
158,80
159,75.5703
160,76.9231
161,79.1544
162,80.4769
163,79.7456
164,47.7995
165,72.8477
166,70.1606
167,65.3365
168,73.4266
169,75.9892
170,45.3454
171,73.8342
172,79.1168
173,79.6501
174,62.0542
175,73.8708
176,81.4815
177,47.4149
178,78.2074
179,76.9231
180,77.8884
181,81.9375
182,82.2785
183,82.1733
184,42.4942
185,74.4167
186,80.3803
187,79.9145
188,69.3727
189,69.6133
190,50.9657
191,76.5838
192,80.234
193,82.2326
194,80.9345
195,79.1396
196,75.0096
197,52.6879
198,76.5365
199,81.893
200,79.4913
201,75.9924
202,58.1295
203,54.2781
204,75.5835
205,75.6179
206,81.8435
207,82.7338
208,81.9866
209,63.6032
210,75.9768
211,82.2933
212,82.9746
213,83.2031
214,83.3009
215,83.5276
216,40.457
217,64.9312
218,78.7004
219,82.9231
220,80.2627
221,52.732
222,78.2241
223,81.4166
224,82.8402
225,83.7677
226,83.7658
227,49.8025
228,79.7482
229,81.4947
230,82.3193
231,83.004
232,68.9245
233,56.6221
234,83.1261
235,83.6597
236,71.0202
237,59.473
238,66.8164
239,58.8815
240,82.7301
241,83.9721
242,82.8767
243,52.5746
244,80.2896
245,82.9946
246,83.1081
247,83.0811
248,83.1936
249,52.4874
250,81.6993
251,84.2848
252,84.5921
253,67.0376
254,58.458
255,84.0752
256,82.9822
257,84.0693
258,83.9844
259,84.2003
260,50.1931
261,82.5688
262,83.9475
263,75.1214
264,77.0128
265,47.3045
266,64.4536
267,85.3581
268,85.0794
269,85.3697
270,84.8523
271,68.9567
272,57.481
273,78.4032
274,81.8888
275,84.33
276,55.6115
277,85.4938
278,83.7349
279,52.2276
280,83.5073
281,86.2228
282,85.3511
283,84.6798
284,66.0005
285,85.0239
286,76.573
287,78.6301
288,80.6271
289,85.9863
290,79.8238
291,81.0585
292,76.6807
293,76.5613
294,74.0554
295,84.4063
296,82.1766
297,82.3856
298,85.9285
299,79.2053
300,81.9224
301,83.5879
302,76.3784
303,81.1028
304,79.9159
305,86.6724
306,86.1002
307,81.7577
308,85.6031
309,81.6812
310,82.1627
311,86.1257
312,81.3772
313,83.8917
314,85.7923
315,86.7052
316,86.6466
317,84.8274
318,85.0722
319,85.2258
320,59.1279
321,81.2453
322,85.8896
323,85.7446
324,85.1064
325,86.9682
326,77.105
327,86.5079
328,82.954
329,82.7257
330,83.6714
331,86.9679
332,86.301
333,85.8469
334,86.016
335,82.553
336,83.5405
337,84.8012
338,84.7118
339,68.4157
340,72.402
341,65.8174
342,85.5428
343,86.0512
344,83.7594
345,83.0125
346,85.2217
347,86.0615
348,84.6715
349,79.1742
350,84.2156
351,85.5472
352,73.3486
353,86.0976
354,66.1806
355,75.7576
356,80.9643
357,68.7596
358,78.4744
359,59.2116
360,70.6853
361,65.2095
362,84.9566
363,86.019
364,84.9673
365,77.3141
366,86.3819
367,82.9379
368,71.7209
369,85.5156
370,84.7846
371,80.5122
372,82.7586
373,86.4827
374,85.6423
375,87.5555
376,85.2801
377,84.7001
378,74.7627
379,74.2992
380,84.7647
381,72.9745
382,85.1538
383,66.574
384,74.289
385,85.1017
386,85.8541
387,59.87
388,77.3833
389,85.4382
390,85.2273
391,86.1233
392,83.6713
393,51.847
394,80.2607
395,87.4474
396,74.3662
397,69.212
398,83.1418
399,83.9823
400,87.604
401,83.8386
402,78.5924
403,58.111
404,78.2036
405,68.0215
406,80.1263
407,87.1894
408,87.5349
409,59.1725
410,82.2302
411,86.4717
412,88.526
413,88.0222
414,78.3053
415,55.9375
416,77.137
417,81.4612
418,71.0522
419,72.8569
420,81.4585
421,62.2321
422,75.9539
423,78.9474
424,60.6581
425,80.2796
426,87.8169
427,78.5938
428,59.0182
429,83.8546
430,87.8986
431,87.4594
432,88.2894
433,87.5101
434,66.1485
435,87.6133
436,87.5326
437,87.9276
438,63.5889
439,79.0706
440,84.1461
441,62.253
442,86.6497
443,74.9704
444,79.3566
445,87.8232
446,72.2384
447,76.124
448,58.7233
449,62.991
450,86.8558
451,82.7068
452,56.5
453,87.6548
454,87.5265
455,88.3152
456,59.2824
457,82.8499
458,87.5884
459,72.6956
460,56.6572
461,86.265
462,86.6142
463,83.6949
464,61.6611
465,87.6532
466,87.2986
467,71.2325
468,56.8375
469,87.4837
470,79.2313
471,81.0392
472,65.6011
473,85.2559
474,88.3504
475,79.9663
476,66.4155
477,86.4444
478,88.617
479,88.458
480,63.0832
481,85.985
482,88.0365
483,71.2179
484,59.147
485,87.2773
486,87.694
487,76.3084
488,63.4838
489,87.2435
490,85.2916
491,85.8392
492,54.9046
493,80.2539
494,83.7998
495,88.4718
496,64.7097
497,88.3085
498,84.1216
499,87.9915
500,63.6862
501,87.8177
502,88.771
503,88.2921
504,64.7732
505,89.0496
506,85.4297
507,60.1566
508,87.783
509,88.6296
510,87.7344
511,52.8056
512,85.3476
513,80.559
514,88.6972
515,54.3937
516,89.0884
517,78.3452
518,83.4004
519,70.7663
520,85.0785
521,88.8472
522,76.9344
523,74.6077
524,87.0287
525,88.2353
526,59.4082
527,68.1143
528,84.7512
529,88.6246
530,63.9479
531,88.9596
532,88.5781
533,74.0586
534,82.1665
535,88.7819
536,84.3563
537,61.6674
538,73.277
539,87.5426
540,75.8747
541,63.3935
542,88.2018
543,89.2065
544,72.543
545,73.4106
546,88.8817
547,71.8791
548,80.1521
549,88.1503
550,83.612
551,58.7232
552,88.1648
553,88.2822
554,88.9388
555,67.4444
556,80.0576
557,88.3286
558,67.7513
559,84.7355
560,88.1057
561,87.9173
562,60.294
563,67.8968
564,84.2546
565,75.5348
566,84.0885
567,89.6868
568,89.5617
569,67.3771
570,75.4567
571,88.5271
572,84.5029
573,88.0725
574,88.3893
575,88.8717
576,83.8184
577,69.8209
578,81.8813
579,77.9064
580,74.723
581,74.9774
582,88.5306
583,83.013
584,80.6964
585,89.1496
586,89.836
587,88.6439
588,78.7465
589,88.5182
590,85.7184
591,80.2989
592,88.2002
593,88.5868
594,85.1247
595,87.6934
596,88.6509
597,88.1832
598,82.7911
599,84.9164
600,85.2515
601,81.3702
602,86.2217
603,88.4294
604,88.098
605,80.0265
606,74.7502
607,78.7085
608,77.5411
609,84.0928
610,86.9937
611,87.9137
612,83.0844
613,61.838
614,72.2353
615,84.8393
616,88.5694
617,86.6938
618,86.3973
619,77.0284
620,78.8603
621,80.7332
622,82.8229
623,88.2811
624,88.6112
625,88.5144
626,79.3309
627,74.2275
628,87.065
629,84.3503
630,88.038
631,88.3135
632,83.0923
633,79.5626
634,82.2415
635,88.3048
636,83.7393
637,84.3373
638,84.6491
639,76.7475
640,80.3717
641,83.8566
642,88.5029
643,72.231
644,67.3852
645,72.0348
646,83.4733
647,68.8298
648,85.9189
649,85.1371
650,78.1438
651,61.6011
652,89.1197
653,86.7659
654,69.8419
655,86.847
656,89.0337
657,67.6552
658,88.3577
659,88.9579
660,83.2702
661,86.0677
662,89.2785
663,79.8795
664,76.932
665,87.477
666,88.7882
667,84.0262
668,88.7354
669,89.0931
670,77.6722
671,65.707
672,87.9696
673,88.3434
674,71.664
675,87.4692
676,85.3104
677,64.9774
678,81.4414
679,89.0609
680,88.8424
681,77.7841
682,84.4164
683,61.5648
684,76.6129
685,84.3908
686,72.5926
687,86.644
688,77.7401
689,57.5173
690,86.9675
691,87.7683
692,79.3214
693,86.0122
694,76.1549
695,66.6028
696,86.7614
697,88.7672
698,88.444
699,70.1103
700,79.1318
701,73.8128
702,86.2302
703,87.963
704,89.193
705,86.4606
706,84.9783
707,81.0222
708,79.2744
709,84.6668
710,85.2546
711,87.7995
712,87.2763
713,78.9328
714,72.0339
715,83.6943
716,69.8196
717,82.804
718,82.9482
719,58.441
720,83.0833
721,76.2721
722,66.0265
723,54.5372
724,66.7466
725,89.4289
726,60.4899
727,89.6867
728,87.5421
729,84.1316
730,89.0135
731,82.6549
732,87.403
733,81.0392
734,63.3687
735,66.4137
736,72.2206
737,75.9246
738,85.0622
739,84.2453
740,80.5661
741,80.1168
742,85.4543
743,58.2608
744,68.7107
745,74.7842
746,77.2817
747,84.3305
748,88.7097
749,89.3688
750,80.3256
751,72.7079
752,79.2246
753,75.9532
754,82.3774
755,84.9747
756,86.6476
757,74.7212
758,86.8469
759,83.4249
760,89.4118
761,84.7156
762,48.0393
763,87.2499
764,85.2869
765,84.2789
766,80.6995
767,86.9713
768,76.8461
769,87.6853
770,80.1082
771,88.458
772,86.3631
773,87.6318
774,86.2299
775,88.6728
776,84.1375
777,88.3657
778,88.9244
779,74.4102
780,76.4931
781,89.2469
782,88.8434
783,87.3202
784,87.5782
785,69.426
786,81.2487
787,81.3185
788,82.444
789,81.855
790,85.111
791,89.4088
792,84.9694
793,89.3924
794,88.468
795,64.0458
796,65.4498
797,76.6936
798,65.1854
799,73.4915
800,63.674
801,88.6062
802,88.5894
803,86.7077
804,88.5268
805,75.6579
806,84.2744
807,88.9256
808,84.5277
809,78.0888
810,84.8256
811,84.1025
812,82.5371
813,87.4288
814,87.4704
815,77.3318
816,76.2902
817,79.9961
818,79.572
819,77.8443
820,81.8854
821,88.8913
822,81.6448
823,89.5052
824,88.774
825,81.6024
826,85.1371
827,88.9343
828,89.3011
829,89.2165
830,88.9794
831,89.1918
832,86.5855
833,89.3585
834,89.5907
835,86.3853
836,82.2511
837,79.3967
838,82.0844
839,85.2989
840,85.6793
841,88.2662
842,88.1768
843,66.0503
844,86.4577
845,87.3205
846,85.5064
847,88.9145
848,77.3511
849,79.0945
850,86.6728
851,88.9609
852,89.43
853,79.2898
854,83.0174
855,79.2841
856,86.1687
857,88.9281
858,81.7454
859,88.7122
860,77.4635
861,80.8299
862,78.2001
863,89.4764
864,76.3251
865,89.1661
866,89.4721
867,89.8539
868,84.8983
869,80.7621
870,89.6722
871,83.9518
872,83.5489
873,80.3276
874,86.2103
875,82.3995
876,86.382
877,83.3729
878,71.3241
879,83.571
880,74.2052
881,80.7368
882,78.7781
883,75.0786
884,72.5959
885,74.2824
886,85.3565
887,88.2675
888,85.0493
889,86.0017
890,88.5044
891,88.4806
892,89.6482
893,81.4409
894,84.8519
895,74.2615
896,83.4031
897,89.9068
898,89.6565
899,84.0816
900,76.9691
901,89.625
902,89.36
903,86
904,78.89
905,80.1878
906,76.0514
907,88.2038
908,89.4053
909,89.6008
910,78.1049
911,71.2275
912,79.2492
913,83.0226
914,89.3713
915,84.3473
916,84.6972
917,89.5683
918,84.9528
919,79.6429
920,80.3283
921,79.3008
922,86.9893
923,89.386
924,86.6873
925,85.0653
926,89.8767
927,79.2782
928,86.6561
929,81.6201
930,75.6405
931,87.5988
932,67.9845
933,86.1257
934,77.5812
935,84.0676
936,88.7877
937,86.3594
938,88.3073
939,89.6762
940,80.2048
941,89.2112
942,75.5959
943,88.2959
944,89.3347
945,74.6151
946,68.815
947,89.7971
948,84.3867
949,89.9526
950,75.3609
951,83.7959
952,83.2241
953,87.8908
954,87.3626
955,84.3118
956,77.7489
957,89.4643
958,89.5243
959,89.3839
960,86.6426
961,89.679
962,89.1814
963,89.3735
964,87.1767
965,87.7911
966,87.8821
967,88.0291
968,87.4672
969,87.9151
970,87.8464
971,87.0462
972,87.2297
973,87.713
974,89.0636
975,89.7542
976,85.855
977,87.1854
978,69.0385
979,89.2109
980,67.2569
981,58.2127
982,69.5418
983,78.1461
984,74.1634
985,59.7259
986,89.3683
987,88.5996
988,87.7209
989,89.1634
990,85.744
991,87.7224
992,87.4163
993,87.4659
994,87.5
995,88.5625
996,89.52
997,88.8513
998,85.4306
999,82.8152
1000,88.8336
1001,88.0077
1002,89.2969
1003,87.6978
1004,77.213
1005,79.5914
1006,89.2794
1007,89.535
1008,89.6877
1009,85.2916
1010,86.9865
1011,87.7071
1012,86.2672
1013,89.4955
1014,88.1356
1015,86.3315
1016,77.7412
1017,89.438
1018,77.2031
1019,78.4148
1020,87.7872
1021,86.1095
1022,86.0125
1023,86.8421
1024,88.2987
1025,88.3545
1026,86.1389
1027,86.0422
1028,83.9047
1029,86.8794
1030,89.7838
1031,83.753
1032,87.9196
1033,89.7247
1034,80.5672
1035,88.7802
1036,86.5497
1037,82.4914
1038,86.3417
1039,89.1769
1040,87.263
1041,87.0256
1042,87.3648
1043,89.551
1044,85.3848
1045,74.6909
1046,68.8067
1047,85.3649
1048,86.4187
1049,86.1319
1050,85.7073
1051,88.6097
1052,83.718
1053,87.3062
1054,82.3373
1055,84.6506
1056,83.9494
1057,89.5459
1058,67.6384
1059,83.4778
1060,86.928
1061,87.744
1062,82.1854
1063,86.1287
1064,89.6377
1065,83.4639
1066,85.8915
1067,73.1122
1068,84.9777
1069,85.3357
1070,85.4223
1071,80.5687
1072,89.9706
1073,81.5845
1074,89.7768
1075,86.5818
1076,73.7744
1077,89.4593
1078,72.3636
1079,82.3853
1080,67.5633
1081,89.0445
1082,67.8412
1083,85.3092
1084,73.7766
1085,88.9344
1086,83.4935
1087,62.5216
1088,84.8608
1089,83.2251
1090,85.2495
1091,84.6655
1092,87.339
1093,75.7292
1094,85.2091
1095,82.6477
1096,89.7772
1097,89.6901
1098,85.2551
1099,84.8714
1100,85.5166
1101,89.2944
1102,81.6055
1103,81.2284
1104,85.681
1105,87.2483
1106,85.6236
1107,85.9806
1108,89.046
1109,89.062
1110,80.7155
1111,82.1563
1112,86.7665
1113,78.8858
1114,85.8574
1115,72.6148
1116,88.2842
1117,78.419
1118,78.8824
1119,88.5495
1120,77.4497
1121,87.7633
1122,72.7721
1123,89.582
1124,69.182
1125,86.2929
1126,84.6044
1127,87.5136
1128,61.2844
1129,83.3641
1130,87.529
1131,87.1072
1132,88.3202
1133,84.8435
1134,84.9247
1135,66.8197
1136,89.0771
1137,79.9522
1138,89.4092
1139,69.621
1140,88.7781
1141,82.4601
1142,88.029
1143,79.5075
1144,88.0135
1145,87.059
1146,88.8028
1147,87.671
1148,83.6674
1149,87.0586
1150,84.802
1151,87.164
1152,82.0396
1153,88.7948
1154,88.1724
1155,88.0201
1156,87.1335
1157,86.9337
1158,85.5876
1159,88.7443
1160,85.5079
1161,85.4619
1162,87.27
1163,87.1945
1164,78.7018
1165,76.9688
1166,63.7193
1167,66.7506
1168,68.1964
1169,77.4429
1170,87.6536
1171,80.0465
1172,87.6458
1173,87.2184
1174,78.0378
1175,89.6331
1176,81.5477
1177,86.1514
1178,86.7963
1179,88.8872
1180,87.3039
1181,87.3327
1182,89.41
1183,88.3297
1184,88.0952
1185,87.1516
1186,85.737
1187,83.5445
1188,87.7724
1189,85.0805
1190,85.9454
1191,84.2768
1192,86.0463
1193,72.2199
1194,89.2243
1195,72.1749
1196,87.7863
1197,82.7057
1198,64.4225
1199,82.7011
1200,88.1575
1201,81.4017
1202,86.6119
1203,87.4273
1204,88.147
1205,86.1268
1206,72.1594
1207,89.2487
1208,88.3493
1209,87.1791
1210,79.438
1211,71.942
1212,83.4596
1213,84.3181
1214,88.6325
1215,86.5508
1216,86.8075
1217,88.9035
1218,87.607
1219,88.8096
1220,87.5117
1221,87.6463
1222,86.2203
1223,87.4321
1224,85.9249
1225,86.1281
1226,83.1299
1227,87.6178
1228,85.2955
1229,86.1549
1230,79.9792
1231,87.2988
1232,84.0267
1233,88.9161
1234,73.6189
1235,88.7659
1236,82.8696
1237,87.5009
1238,82.2209
1239,87.5618
1240,82.6887
1241,70.1447
1242,87.4463
1243,86.4455
1244,88.7177
1245,89.369
1246,87.4631
1247,86.8808
1248,87.3827
1249,86.1795
1250,83.2723
1251,88.2789
1252,85.93
1253,89.3023
1254,72.8223
1255,69.6874
1256,88.1775
1257,89.581
1258,86.9085
1259,89.2022
1260,87.4818
1261,85.3815
1262,84.2007
1263,87.3807
1264,87.4922
1265,87.2474
1266,85.0864
1267,87.289
1268,86.8969
1269,83.3826
1270,88.8423
1271,85.3822
1272,86.0215
1273,87.3653
1274,85.1661
1275,88.9494
1276,89.5942
1277,88.8533
1278,86.5795
1279,86.5476
1280,86.9565
1281,88.1928
1282,84.4811
1283,83.3333
1284,71.532
1285,77.2282
1286,84.3721
1287,86.087
1288,86.8334
1289,86.7371
1290,83.3872
1291,84.7002
1292,84.5328
1293,87.1823
1294,85.0644
1295,79.9827
1296,78.5217
1297,88.0576
1298,82.2508
1299,84.0668
1300,87.2718
1301,87.4798
1302,71.9496
1303,85.169
1304,85.0287
1305,81.726
1306,84.1278
1307,86.1228
1308,86.2968
1309,83.2591
1310,83.0323
1311,84.0546
1312,85.4723
1313,83.9997
1314,88.8078
1315,88.6119
1316,89.0573
1317,86.2701
1318,88.832
1319,89.0374
1320,88.9488
1321,86.8279
1322,89.1076
1323,88.5246
1324,88.8829
1325,82.7194
1326,80.388
1327,89.0664
1328,84.1785
1329,79.9639
1330,88.7258
1331,85.8488
1332,83.8369
1333,88.9378
1334,89.064
1335,86.4078
1336,87.618
1337,86.0804
1338,83.6145
1339,82.8692
1340,87.2964
1341,85.9891
1342,89.1221
1343,84.0531
1344,84.9826
1345,86.4896
1346,86.3651
1347,80.8087
1348,89.0415
1349,89.1312
1350,78.7861
1351,89.2397
1352,86.5834
1353,87.4539
1354,85.4798
1355,83.8283
1356,77.5345
1357,84.0092
1358,88.9967
1359,77.5818
1360,79.3095
1361,81.7221
1362,89.1303
1363,89.2132
1364,88.468
1365,78.2549
1366,83.8757
1367,88.9858
1368,77.1704
1369,86.9482
1370,73.4112
1371,87.3415
1372,85.7071
1373,85.684
1374,83.8418
1375,76.8629
1376,64.501
1377,80.7151
1378,85.4309
1379,80.086
1380,88.9691
1381,84.6253
1382,82.2423
1383,88.4893
1384,88.0463
1385,87.47
1386,78.0669
1387,88.2316
1388,84.2284
1389,82.8364
1390,86.9728
1391,82.6943
1392,88.1124
1393,82.2897
1394,85.1558
1395,87.2966
1396,81.0732
1397,87.4765
1398,86.0096
1399,88.9949
1400,84.9876
1401,89.2755
1402,58.6439
1403,68.7509
1404,66.6698
1405,78.6762
1406,61.6261
1407,84.393
1408,85.2352
1409,81.3323
1410,87.6103
1411,88.3089
1412,81.2241
1413,79.5384
1414,88.4192
1415,88.1345
1416,85.7143
1417,88.2152
1418,89.0312
1419,81.9095
1420,86.9086
1421,88.2225
1422,89.1368
1423,84.3109
1424,86.5496
1425,80.4948
1426,85.8157
1427,87.9182
1428,85.3352
1429,66.1574
1430,68.4112
1431,77.8225
1432,85.1722
1433,88.1033
1434,85.1443
1435,87.5641
1436,50.1379
1437,74.1869
1438,88.4542
1439,70.1199
1440,70.9884
1441,77.4565
1442,69.7629
1443,63.7987
1444,81.3017
1445,83.3959
1446,81.829
1447,77.475
1448,79.4862
1449,75.3863
1450,84.9394
1451,69.4591
1452,71.4005
1453,69.7719
1454,74.2405
1455,86.8553
1456,86.8372
1457,64.5833
1458,88.8266
1459,74.4996
1460,59.5165
1461,75.5117
1462,79.834
1463,61.5249
1464,76.0283
1465,88.7395
1466,72.1102
1467,80.2604
1468,88.3699
1469,77.8484
1470,53.7536
1471,77.1005
1472,71.4806
1473,86.7032
1474,74.0517
1475,69.4837
1476,71.755
1477,76.087
1478,87.7724
1479,75.317
1480,83.4085
1481,83.8856
1482,85.1724
1483,87.5184
1484,82.8634
1485,88.272
1486,72.4984
1487,88.8929
1488,83.2354
1489,75.3466
1490,89.3071
1491,65.8511
1492,70.9294
1493,87.6379
1494,75.961
1495,72.6539
1496,79.2163
1497,60.4971
1498,71.0795
1499,86.3828
1500,71.0126
1501,88.764
1502,72.0868
1503,72.6895
1504,86.6409
1505,70.4687
1506,74.2018
1507,85.3728
1508,83.7127
1509,88.3076
1510,77.151
1511,72.7982
1512,88.4159
1513,72.0957
1514,71.0031
1515,85.9623
1516,80.9008
1517,71.7801
1518,86.6191
1519,69.4337
1520,88.5317
1521,72.6639
1522,71.1248
1523,87.8671
1524,68.0752
1525,76.2081
1526,85.7978
1527,75.3813
1528,88.3595
1529,81.5641
1530,72.1596
1531,87.5207
1532,72.5104
1533,83.5696
1534,86.1266
1535,70.7993
1536,85.5043
1537,82.4571
1538,75.1858
1539,83.6868
1540,74.353
1541,80.2103
1542,86.8977
1543,83.3603
1544,71.3889
1545,73.0427
1546,70.0498
1547,84.9067
1548,87.1818
1549,85.8743
1550,71.7958
1551,87.6618
1552,83.2082
1553,88.0885
1554,84.5991
1555,89.296
1556,81.8086
1557,89.3492
1558,87.3318
1559,85.9
1560,86.3023
1561,84.0603
1562,85.6782
1563,85.9972
1564,85.558
1565,87.2012
1566,86.687
1567,78.2795
1568,68.4238
1569,68.6052
1570,73.6294
1571,85.0568
1572,82.576
1573,86.8341
1574,85.3579
1575,85.7003
1576,79.6724
1577,85.7485
1578,86.0696
1579,84.9747
1580,88.6495
1581,84.559
1582,83.5093
1583,89.0476
1584,83.9828
1585,87.3663
1586,87.6679
1587,86.8447
1588,87.4594
1589,84.3821
1590,89.7038
1591,84.6862
1592,85.5684
1593,88.2989
1594,81.5304
1595,82.9692
1596,88.5584
1597,83.1987
1598,86.9518
1599,88.7692
1600,88.9235
1601,89.0781
1602,86.8152
1603,89.2688
1604,87.0367
1605,87.4612
1606,88.98
1607,88.667
1608,83.2341
1609,81.3736
1610,84.5366
1611,87.2745
1612,85.6763
1613,84.1638
1614,87.4607
1615,86.0966
1616,84.1229
1617,89.0517
1618,86.3901
1619,87.5608
1620,81.448
1621,89.1051
1622,88.9401
1623,85.6419
1624,88.9668
1625,87.5303
1626,85.2023
1627,87.0053
1628,88.4638
1629,85.9676
1630,85.5194
1631,87.6552
1632,87.4645
1633,87.0237
1634,81.1119
1635,88.9264
1636,88.7442
1637,74.3078
1638,89.1332
1639,89.1197
1640,79.342
1641,88.7123
1642,89.3897
1643,81.0118
1644,84.1179
1645,87.9209
1646,88.6758
1647,75.9546
1648,88.0389
1649,87.4615
1650,67.7284
1651,75.5503
1652,84.7571
1653,77.7992
1654,82.5226
1655,86.5179
1656,77.7647
1657,89.1196
1658,86.7246
1659,79.4312
1660,82.1823
1661,89.5756
1662,87.5059
1663,80.8027
1664,86.9883
1665,88.465
1666,83.055
1667,89.111
1668,87.7895
1669,83.0183
1670,89.5875
1671,86.5848
1672,86.8166
1673,89.1458
1674,89.7587
1675,89.3095
1676,89.6017
1677,86.0221
1678,88.2136
1679,78.9783
1680,89.9502
1681,88.8008
1682,79.9848
1683,83.9192
1684,89.732
1685,90.1503
1686,88.2353
1687,89.6149
1688,88.8141
1689,88.4432
1690,89.9654
1691,89.9995
1692,85.0893
1693,88.7456
1694,89.7864
1695,85.5542
