Data,IOPS
0,0
1,239.917
2,415.067
3,486.847
4,689.81
5,1036.76
6,1443.9
7,1871.06
8,1722.36
9,2432.43
10,2731.57
11,2996.13
12,2382.47
13,3563.79
14,3743.62
15,4142.5
16,3278.55
17,4622.2
18,4769.35
19,4931.09
20,4722.22
21,5754.84
22,5964
23,5267.26
24,5920.08
25,6834.52
26,6980.8
27,6424.14
28,6516.02
29,7967.25
30,8207.04
31,6497.04
32,8198.82
33,9013.19
34,9311.75
35,7152.93
36,9846.02
37,9935.29
38,10126.6
39,8089.61
40,10996
41,11221.2
42,11419.2
43,9073.45
44,9923.77
45,7126.68
46,8027.36
47,10205.9
48,8063.57
49,7252.81
50,8295.18
51,8365.04
52,9578.72
53,8993.42
54,7889.43
55,13452.7
56,12444.2
57,12605.6
58,9062.64
59,12119
60,9106.78
61,8962.02
62,15862.5
63,14007.8
64,17309.5
65,17755.2
66,16388.6
67,15782.5
68,18450.7
69,18693.6
70,17483.4
71,17303.1
72,19620.1
73,19742.5
74,18250
75,17861.8
76,17188.7
77,15173
78,17876
79,21375.6
80,21717.9
81,21855.3
82,19049.4
83,22115.6
84,22933.3
85,22991
86,18511.3
87,23289.4
88,23300.1
89,20064
90,20700.1
91,24449.2
92,23737.6
93,23115.9
94,22245.4
95,25514.3
96,23067.5
97,21522.1
98,24910.4
99,25407.4
100,27321.7
101,22630
102,27663.3
103,28056.2
104,28096
105,23473.7
106,28654.1
107,26517.3
108,29415
109,17721.8
110,17075.7
111,17261.2
112,17169.5
113,16489.4
114,15780.5
115,17609.7
116,23822.7
117,31500.7
118,31254.1
119,31847.1
120,25410.8
121,32540
122,33082.1
123,28898.3
124,28909.8
125,33557
126,33349.2
127,31940.8
128,30277.9
129,34961.2
130,35178.9
131,32795.1
132,32431.6
133,34802.2
134,29752
135,31995.1
136,36254.1
137,37032
138,35343.8
139,29521.7
140,37779.6
141,38063.9
142,35800.7
143,33572.8
144,38849.6
145,39267.7
146,36490
147,36360.9
148,39381.6
149,39913.2
150,38074
151,35391.2
152,41047.8
153,41021
154,34245.8
155,28260.9
156,33165.4
157,26125.3
158,42473.1
159,42196.3
160,42921.9
161,37792.5
162,44033.7
163,43929.4
164,42951.1
165,36249.4
166,45302
167,45241.5
168,42564
169,38063.1
170,45860.4
171,46135.2
172,42192
173,40711.6
174,45929.7
175,46810.2
176,42120.4
177,44230.1
178,47807.1
179,48475.3
180,41324.2
181,45991.6
182,49109.6
183,49156.5
184,40096.8
185,49685.8
186,49745.9
187,49836.1
188,42176.1
189,49270.1
190,48163.5
191,48275
192,40444
193,50720.1
194,50098.1
195,47018.5
196,46529.3
197,53217.4
198,52993.6
199,48288.1
200,46011.9
201,53561.4
202,52785.6
203,48536.7
204,49941.2
205,54971.6
206,55337.7
207,46268.4
208,54423.2
209,56492.6
210,56738.4
211,49295.6
212,57368.6
213,54456.2
214,49979
215,50111.9
216,58243
217,58596.4
218,55189.9
219,50307.8
220,59095.3
221,59547.9
222,55317.5
223,53252.5
224,59572.9
225,60531.1
226,50445.3
227,56471.9
228,60847.1
229,60606.1
230,47925.7
231,61873.9
232,62085.2
233,56872.3
234,54060.3
235,62957.1
236,63725.2
237,59015.4
238,54823.6
239,62486.9
240,64186.6
241,58128.3
242,60167.6
243,64639.7
244,63581.4
245,58943.8
246,61339
247,66496.2
248,66887.8
249,55199.6
250,66947
251,67267
252,66027.4
253,54121.1
254,68032.7
255,68594.5
256,68018.2
257,57443
258,69562.4
259,69146
260,63875.8
261,60267.4
262,70375.2
263,70287
264,61741.4
265,59147.8
266,69078.3
267,71834.1
268,60801.3
269,68493.2
270,70217.4
271,72061.1
272,59422.4
273,64747.2
274,45502.9
275,63161.8
276,71686.4
277,72583.4
278,74028.7
279,60265.7
280,74964.5
281,75580.3
282,76010.8
283,62387
284,76686.3
285,75693.2
286,76764.1
287,61741.7
288,77515.2
289,77103.7
290,69933.4
291,68300.2
292,78081.1
293,78079.2
294,69770.8
295,67853.5
296,78346.3
297,79271.9
298,69192.9
299,77189.2
300,77423.4
301,80801
302,66534.5
303,80379.9
304,80855.4
305,79251.7
306,70018.1
307,81618.5
308,82527.3
309,78231.8
310,71104.2
311,82554.7
312,83794.4
313,76928.7
314,73931.1
315,82118.9
316,84623.2
317,73527.7
