Data,MIOPS
0,0
1,0.00349339
2,0.00692989
3,0.011562
4,0.00855437
5,0.0189342
6,0.0190366
7,0.0244307
8,0.0317832
9,0.0303818
10,0.0305488
11,0.0398548
12,0.0458891
13,0.0479834
14,0.0559105
15,0.0554187
16,0.0596365
17,0.0686101
18,0.0651419
19,0.0665674
20,0.0711891
21,0.0772556
22,0.0761175
23,0.066011
24,0.0963306
25,0.0841193
26,0.095849
27,0.109372
28,0.0943279
29,0.108777
30,0.121667
31,0.115805
32,0.124
33,0.129634
34,0.127188
35,0.140409
36,0.135012
37,0.13686
38,0.15022
39,0.143294
40,0.149282
41,0.121211
42,0.161271
43,0.160163
44,0.177848
45,0.170526
46,0.169598
47,0.186623
48,0.177219
49,0.182336
50,0.2029
51,0.187566
52,0.187673
53,0.212756
54,0.200847
55,0.20654
56,0.225541
57,0.210032
58,0.223227
59,0.23044
60,0.221349
61,0.233836
62,0.237794
63,0.23281
64,0.253792
65,0.240574
66,0.246674
67,0.178474
68,0.27584
69,0.2391
70,0.251685
71,0.233043
72,0.269812
73,0.268504
74,0.298994
75,0.277157
76,0.27805
77,0.310478
78,0.288547
79,0.292387
80,0.321457
81,0.297098
82,0.221331
83,0.323675
84,0.323847
85,0.31681
86,0.34743
87,0.325846
88,0.324538
89,0.35969
90,0.325172
91,0.33557
92,0.365679
93,0.331427
94,0.271467
95,0.250053
96,0.385624
97,0.366325
98,0.252035
99,0.367733
100,0.399853
101,0.338555
102,0.29298
103,0.408678
104,0.394886
105,0.382379
106,0.429468
107,0.383098
108,0.365062
109,0.439167
110,0.40537
111,0.33386
112,0.428943
113,0.44434
114,0.423225
115,0.450694
116,0.444398
117,0.429011
118,0.473873
119,0.450698
120,0.365453
121,0.469753
122,0.475537
123,0.449172
124,0.492128
125,0.472256
126,0.389765
127,0.484729
128,0.497064
129,0.436693
130,0.490766
131,0.366249
132,0.509613
133,0.487158
134,0.524493
135,0.489286
136,0.507582
137,0.364095
138,0.548511
139,0.481599
140,0.510949
141,0.567005
142,0.529926
143,0.535556
144,0.525528
145,0.541172
146,0.543175
147,0.592689
148,0.497108
149,0.551668
150,0.448918
151,0.570069
152,0.545644
153,0.604619
154,0.577395
155,0.568713
156,0.513374
157,0.589527
158,0.578147
159,0.623701
160,0.609849
161,0.572695
162,0.640172
163,0.613631
164,0.50818
165,0.632851
166,0.644285
167,0.590649
168,0.651377
169,0.643327
170,0.531957
171,0.632513
172,0.692599
173,0.630489
174,0.682067
175,0.676355
176,0.639844
177,0.682449
178,0.677386
179,0.66565
180,0.709508
181,0.690755
182,0.683833
183,0.735856
184,0.688442
185,0.679747
186,0.743667
187,0.697579
188,0.725499
189,0.736655
190,0.714433
191,0.767232
192,0.728418
193,0.700336
194,0.769139
195,0.679525
196,0.711403
197,0.792948
198,0.718193
199,0.757166
200,0.802417
201,0.741049
202,0.771287
203,0.807045
204,0.742304
205,0.789184
206,0.792439
207,0.755874
208,0.799533
209,0.811187
