Data,IOPS
0,0
1,258.712
2,463.07
3,759.513
4,1051.61
5,1383.59
6,1276.95
7,1882.48
8,2200.16
9,2476
10,1604.42
11,2493.88
12,3201.62
13,2969.66
14,2980.18
15,4178.04
16,4417.94
17,3295.98
18,4929.35
19,5222.65
20,2988.33
21,4948.51
22,4150.87
23,4564.67
24,4526
25,4419.07
26,4941.27
27,4672.09
28,7599.4
29,8041.93
30,6614.34
31,8402.22
32,7186.17
33,5976.31
34,8003.01
35,9615.65
36,9784.74
37,8251.75
38,9365.14
39,10426.7
40,10475.3
41,6926.73
42,10627.5
43,11727.8
44,10538.7
45,10179.2
46,12031.5
47,12991
48,7121.77
49,12891
50,13729.5
51,12456.3
52,12859.2
53,14081.5
54,14820.5
55,13811.8
56,12710.2
57,15669.2
58,15774.6
59,14182.4
60,14335.2
61,16745.4
62,16944.1
63,15111.5
64,15130
65,17852.7
66,18121.9
67,16670
68,16504.5
69,18718.5
70,18932.2
71,16684.3
72,16335.1
73,20003.8
74,11636.7
75,17062.5
76,19689.1
77,21313.1
78,20192.1
79,19555.4
80,21185.9
81,22276
82,19100.9
83,19383
84,22160.1
85,23030.2
86,21578.2
87,20223.6
88,24206.4
89,23485.9
90,18583.9
91,16125.9
92,24817.2
93,22849
94,22142.1
95,25984.7
96,25758
97,21802.2
98,15995.8
99,26446.5
100,27217.5
101,21164.2
102,28055.1
103,27777
104,28300.1
105,23681.7
106,25510.8
107,29550.7
108,27020.3
109,25565.8
110,29072.8
111,30474.4
112,29829.3
113,22913
114,21417.3
115,28035.8
116,23990.2
117,31098.8
118,30742.8
119,30400.6
120,28652.6
121,32693
122,20192.3
123,26205.9
124,33860.4
125,33243.8
126,32924.8
127,28874.1
128,33239.8
129,35285.4
130,33714.6
131,32034
132,35946.7
133,35604.3
134,36491.4
135,29704.3
136,37231.7
137,37335.8
138,36482.8
139,31160.3
140,37443.2
141,38041.3
142,36369.2
143,34007.9
144,36594.7
145,39361.5
146,36330.2
147,35747.3
148,40279.8
149,38931.9
150,37343.2
151,33370.9
152,40332.2
153,41360.3
154,34700.3
155,40014.5
156,42030.4
157,42441.6
158,35677.2
159,43461.6
160,43336.9
161,43803.6
162,36021.6
163,43796
164,43174.9
165,44754.3
166,35190.4
167,45046.3
168,45632.3
169,45435
170,38486.8
171,46320.1
172,47091
173,46290.1
174,40011
175,47607.4
176,48071.7
177,40664.4
178,41525.7
179,48720.7
180,46770.3
181,43899
182,41569.6
183,48935.7
184,49744.5
185,45183.7
186,46020.2
187,51196.4
188,51141.2
189,43162.5
190,47936.2
191,52036.5
192,52142.7
193,43049.6
194,53296.7
195,53224.9
196,53138.1
197,43939.9
198,53117.3
199,54045.2
200,54243.2
201,44930.3
202,53166.3
203,54444
204,53998.3
205,45369
206,56282.6
207,56288.2
208,56281.6
209,48302.5
210,56145.2
211,57101.1
212,57010.7
213,46969.1
214,56390
215,58921.9
216,59106.8
217,46083.9
218,58992.3
219,56589.1
220,58560.5
221,54731.4
222,60505.3
223,59065
224,55775.5
225,51427.4
226,60937.8
227,60505.9
228,58157.3
229,55121
230,62588.4
231,61382.3
232,51292.3
233,56870.9
234,63397.5
235,63817.1
236,57483.9
237,57290.7
238,64510.9
239,62764.3
240,39984.7
241,65733.8
242,66021
243,65844.7
244,52041.1
245,64529.7
246,66860.5
247,64860
248,57435.3
249,67339.2
250,68136.6
251,67863.5
252,56910.6
253,68662.3
254,69398.9
255,53454.6
256,59843.8
257,69478.2
258,68440.5
259,61307.6
260,63714.6
261,70121.7
262,71205.3
263,66996.1
264,59459.5
265,71131.4
266,72455.9
267,65535.9
268,66290.7
269,73074
270,72530
271,60365.8
272,70800.1
273,73688.2
274,73072.5
275,59428.6
276,74977.6
277,72490.3
278,74648.9
279,61690.2
280,75730.9
281,75643.4
282,71949.8
283,64408.9
284,77708.2
285,76842.2
286,69372
287,66615.6
288,78156.8
289,78455.9
290,68837.8
291,68090.9
292,76162.7
293,79397.3
294,62445.6
295,76227.4
296,80010.8
297,80858.1
298,67443.7
299,79500.1
300,78035.6
301,81435
302,62798.9
303,79617.4
304,82640.1
305,82316.7
306,67003.9
307,83222.6
308,81954.1
309,79220.6
310,72626.7
311,84490.2
312,83467.1
313,77973.2
314,70645.9
315,82764.1
316,82917.9
317,79064.2
318,77914.4
319,85447.2
320,86479.5
321,78827.2
322,78886.8
323,71234.8
324,87232.8
325,72619.2
326,85683.5
327,85120.8
328,88703.8
329,75493.3
330,89610.6
331,89616.9
332,79769.3
333,78543.3
334,91037.9
335,90616.5
336,82099.4
337,80247.6
338,91413.1
339,90850.6
340,71805.7
341,88479.5
342,91370.6
343,90808
344,69311.5
345,89587.1
346,93485.7
347,86663.3
348,80252.8
349,93913.1
350,93823.7
351,85685
352,84735.6
353,91207.4
354,95963.6
355,87777.9
356,85646.9
357,95942
358,95535.5
359,86416.5
360,86270.9
361,98159.2
362,97708.4
363,88284.7
364,92063.3
365,92491.7
366,96761.4
367,80066.3
368,96509.4
369,99276.3
370,96379.3
371,99589.3
372,98410.1
373,97315.3
374,99587.3
375,83735.3
376,100783
377,100221
378,97659.3
379,85870.9
380,101072
381,96683.3
382,89576.7
383,90556.6
384,102751
385,102443
386,96165.8
387,94436.3
388,102686
389,104852
390,84967.3
391,99582.3
392,104597
393,104333
394,86320.2
395,103417
396,102999
397,102399
398,84427.6
399,106151
400,106769
401,101224
402,91284.8
403,106061
404,108201
405,100208
406,95949.3
407,109701
408,108998
409,98006.3
410,104299
411,110916
412,109755
413,88397.1
414,109347
415,107249
416,110272
417,94654.4
418,111992
419,112194
420,110547
421,92568.2
422,113477
423,112929
424,102068
425,97376.6
426,113636
427,110915
428,98235
429,107108
430,113642
431,113735
432,88837.7
433,116860
434,111154
435,107868
436,95976.1
437,117521
438,116834
439,103854
440,99204.1
441,116160
442,116481
443,105930
444,111491
445,117925
446,118956
447,96973.6
448,117786
449,121086
450,118715
451,99361.1
452,121411
453,118807
454,117161
455,105283
456,118942
457,123237
458,112315
459,107140
460,123962
461,124888
462,109142
463,117008
464,97787.1
465,85503.1
466,114188
467,126158
468,126156
469,112667
470,108011
471,123337
472,89270.5
473,110579
474,120891
475,127486
476,108639
477,120931
478,125252
479,128919
480,107459
481,124193
482,129926
483,124935
484,113222
485,127170
486,125455
487,117236
488,111459
489,128738
490,129877
491,99274.1
492,122263
493,126355
494,133301
495,108315
496,131680
497,131589
498,117425
499,120607
500,133718
501,134497
502,122061
503,122516
504,134364
505,135483
506,117573
507,135171
508,130877
509,136370
510,110990
511,132741
512,137170
513,131586
514,101597
515,137985
516,133547
517,110709
518,131017
519,137070
520,140487
521,120043
522,135482
523,139959
524,139968
525,114212
526,140544
527,141401
528,126990
529,121431
530,140334
531,142420
532,121739
533,142361
534,138990
535,142716
536,112230
537,104426
