Data,MIOPS
0,0
1,4.42478
2,8.62069
3,12.766
4,16.5289
5,19.7628
6,23.4375
7,26.7176
8,29.9625
9,32.8467
10,34.8432
11,36.7893
12,39.7351
13,41.8006
14,44.164
15,47.1698
16,48.9297
17,51.5152
18,52.7859
19,55.8824
20,58.1395
21,60.1719
22,61.4525
23,63.8889
24,65.9341
25,68.6813
26,70.6522
27,72.3861
28,73.4908
29,46.8498
30,65.0759
31,60.1942
32,79.602
33,69.4737
34,40.0471
35,83.1354
36,65.0995
37,77.8947
38,87.7598
39,88.0361
40,90.7029
41,91.5179
42,92.7152
43,94.5055
44,95.0324
45,96.3597
46,97.0464
47,98.5325
48,99.3789
49,100
50,101.01
51,101.594
52,103.38
53,103.718
54,104.046
55,105.769
56,106.87
57,107.955
58,108.614
59,109.057
60,109.689
61,110.909
62,111.311
63,112.299
64,113.274
65,113.438
66,114.783
67,114.923
68,115.646
69,115.772
70,117.845
71,117.94
72,118.616
73,119.086
74,119.935
75,120.385
76,121.212
77,121.643
78,87.5421
79,118.797
80,120.482
81,81.3253
82,103.145
83,88.6752
84,125.561
85,126.488
86,126.657
87,127.941
88,126.984
89,127.507
90,128.023
91,129.445
92,128.134
93,129.707
94,129.655
95,130.137
96,91.7782
97,131.615
98,92.9791
99,94.3756
100,72.8863
101,88.9868
102,133.858
103,62.8816
104,116.201
105,130.76
106,133.838
107,136.132
108,136.02
109,136.591
110,136.816
111,137.206
112,137.255
113,137.805
114,137.681
115,138.055
116,138.756
117,138.135
118,139.151
119,82.2391
120,94.7119
121,127.907
122,115.97
123,138.047
124,138.085
125,130.617
126,120.459
127,122.705
128,137.339
129,142.541
130,143.33
131,143.64
132,143.478
133,143.939
134,144.708
135,144.077
136,144.835
137,145.435
138,145.723
139,145.094
140,146.138
141,146.722
142,145.94
143,146.968
144,147.239
145,126.97
146,142.439
147,98.262
148,96.0415
149,132.444
150,148.662
151,148.768
152,149.02
153,149.123
154,148.792
155,150.194
156,149.569
157,149.098
158,151.052
159,150.284
160,150.235
161,150.749
162,150.979
163,134.267
164,151.292
165,119.22
166,130.401
167,86.1713
168,90.274
169,84.9246
170,92.7948
171,85.8865
172,152.618
173,153.505
174,152.498
175,152.838
176,153.177
177,153.646
178,153.052
179,153.912
180,153.715
181,154.174
182,154.762
183,84.4096
184,155.143
185,154.553
186,155
187,155.058
188,155.887
189,155.3
190,155.993
191,156.046
192,154.589
193,156.402
194,156.452
195,156.125
196,156.675
197,156.847
198,157.143
199,157.188
200,157.356
201,157.524
202,157.076
203,156.394
204,124.694
205,157.571
206,114.636
207,119.722
208,152.941
209,158.453
210,158.252
211,158.171
212,158.801
213,159.193
214,158.167
215,158.906
216,159.057
217,159.208
218,159.473
219,132.326
220,128.655
221,122.778
222,108.134
223,159.857
224,160.804
225,160.028
226,160.284
227,160.311
228,160.677
229,160.702
230,161.404
231,160.528
232,161.56
233,161.246
234,135.26
235,134.516
236,107.419
237,161.775
238,95.544
239,161.377
240,162.712
241,149.782
242,95.7657
243,95.8202
244,162.775
245,95.928
246,162.698
247,108.191
248,157.761
249,118.178
250,157.629
251,158.861
252,163.212
253,163.121
254,164.083
255,163.776
256,163.057
257,164.533
258,164.122
259,164.863
260,164.975
261,143.407
262,132.39
263,151.063
264,138.655
265,164.392
266,96.9388
267,96.8444
268,164.822
269,97.6407
270,97.5786
271,97.6225
272,97.631
273,85.8761
274,159.86
275,147.216
276,149.351
277,165.274
278,97.4413
279,93.8446
280,90.3517
281,87.6482
282,90.9091
283,90.9091
284,93.1453
285,95.4135
286,97.9788
287,97.4202
288,112.368
289,85.8841
290,107.288
291,99.9313
292,155.485
293,97.7644
294,97.0617
295,166.573
296,166.855
297,166.573
298,167.228
299,166.853
300,167.224
301,167.781
302,167.035
303,167.588
304,167.033
305,146.635
306,98.646
307,167.302
308,168.306
309,168.118
310,168.022
311,167.836
312,168.103
313,168.28
314,168.545
315,168.63
316,168.533
317,168.707
318,162.66
319,121.895
320,157.403
321,161.226
322,167.883
323,169.11
324,163.471
325,169.447
326,169.703
327,169.518
328,169.159
329,169.326
330,169.579
331,169.05
332,156.382
333,163.395
334,123.475
335,152.898
336,169.783
337,168.584
338,170.191
339,169.84
340,170.17
341,169.652
342,169.896
343,169.718
344,170.044
345,169.951
346,167.636
347,169.931
348,170.421
349,170.078
350,170.482
351,170.223
352,170.708
353,170.614
354,170.849
355,170.509
356,170.662
357,113.369
358,130.514
359,171.034
360,171.103
361,129.067
362,158.702
363,124.486
364,170.253
365,171.523
366,171.268
367,171.495
368,171.163
369,171.548
370,171.773
371,171.363
372,172.302
373,171.415
374,132.483
375,100.107
376,160.136
377,167.63
378,171.896
379,171.493
380,172.179
381,172.242
382,171.84
383,165.371
384,164.524
385,100.548
386,151.491
387,113.158
388,160.264
389,172.506
390,172.643
391,172.247
392,172.005
393,172.899
394,171.528
395,172.867
396,172.7
397,172.01
398,167.932
399,126.667
400,140.203
401,155.126
402,173.201
403,173.259
404,173.689
405,173.225
406,173.43
407,173.783
408,173.469
409,165.654
410,173.508
411,151.661
412,168.026
413,156.796
414,167.951
415,173.568
416,173.55
417,173.533
418,173.732
419,173.715
420,174.274
421,173.537
422,173.949
423,174.146
424,120.284
425,87.7555
426,93.9361
427,92.145
428,166.278
429,174.674
430,174.726
431,174.565
432,174.687
433,174.597
434,134.449
435,126.16
436,157.799
437,174.451
438,174.572
439,174.692
440,174.672
441,175.069
442,174.911
443,175.03
444,174.597
445,154.89
446,158.945
447,122.634
448,158.136
449,174.981
450,175.37
451,175.418
452,175.194
453,174.971
454,176.106
455,175.202
456,175.385
457,142.146
458,133.178
459,149.902
460,175.841
461,175.419
462,163.251
463,175.445
464,168.36
465,175.803
466,175.783
467,175.895
468,171.366
469,168.584
470,161.846
471,169.12
472,175.399
473,175.902
474,176.012
475,175.926
476,176.166
477,175.885
478,175.865
479,137.053
480,169.014
481,159.748
482,170.258
483,103.338
484,105.378
485,103.61
486,103.757
487,101.353
488,169.327
489,122.556
490,164.54
491,172.22
492,176.597
493,176.703
494,176.807
495,176.66
496,177.016
497,176.805
498,168.3
499,176.888
500,177.054
501,176.657
502,173.343
503,176.739
504,176.718
505,99.039
506,171.467
507,176.963
508,176.696
509,176.859
510,136.218
511,124.817
512,154.87
513,176.897
514,176.997
515,175.648
516,176.35
517,176.39
518,176.852
519,176.651
520,167.203
521,98.5622
522,120.526
523,177.048
524,177.327
525,177.425
526,177.104
527,177.202
528,177.122
529,177.041
530,144.414
531,119.112
532,171.779
533,177.43
534,177.468
535,177.328
536,177.073
537,171.019
538,101.471
539,89.6391
540,122.117
541,177.552
542,177.356
543,177.277
544,174.359
545,177.756
546,177.792
547,177.54
548,168.771
549,160.058
550,165.314
551,169.8
552,177.721
553,177.699
554,178.078
555,177.373
556,177.806
557,175.047
558,164.311
559,165.875
560,163.17
561,177.869
562,178.074
563,177.771
564,175.155
565,177.785
566,177.82
567,178.302
568,177.889
569,150.211
570,162.208
571,177.054
572,178.36
573,177.785
574,167.64
575,178.074
576,177.559
577,178.417
578,155.963
579,171.352
580,166.763
581,178.495
582,178.473
583,177.636
584,178.593
585,178.681
586,178.224
587,178.691
588,157.388
589,115.922
590,173.173
591,176.05
592,178.852
593,179.046
594,179.024
595,178.84
596,178.818
597,160.011
598,172.235
599,169.161
600,178.625
601,176.298
602,179.007
603,178.879
604,178.857
605,179.1
606,179.449
607,133.818
608,119.685
609,93.6203
610,101.094
611,105.127
612,179.314
613,179.397
614,179.375
615,172.221
616,179.592
617,173.217
618,179.39
619,179.368
620,179.502
621,179.48
622,179.613
623,158.242
624,179.413
625,137.484
626,147.052
627,164.481
628,179.685
629,179.612
630,179.436
631,172.687
632,179.648
633,179.983
634,179.858
635,159.188
636,124.681
637,179.944
638,179.921
639,112.858
640,109.271
641,98.3581
642,99.7359
643,160.309
644,167.839
645,180.117
646,179.944
647,180.022
648,179.303
649,104.543
650,105.059
651,170.776
652,142.982
653,170.318
654,179.967
655,180.044
656,180.17
657,175.904
658,180.077
659,180.153
660,162.762
661,150.023
662,179.842
663,179.967
664,180.141
665,180.168
666,180.244
667,176.595
668,120.534
669,170.576
670,180.059
671,180.328
672,180.5
673,180.236
674,176.394
675,180.288
676,143.22
677,165.972
678,180.319
679,180.585
680,180.515
681,180.637
682,179.947
683,180.688
684,180.57
685,165.18
686,148.132
687,180.599
688,180.815
689,180.745
690,180.77
691,180.795
692,180.49
693,180.704
694,164.885
695,156.885
696,180.779
697,180.757
698,181.017
699,177.186
700,180.925
701,180.81
702,98.0995
703,129.729
704,175.43
705,180.769
706,180.748
707,181.05
708,181.12
709,180.867
710,152.754
711,116.12
712,163.153
713,169.158
714,180.989
715,175.46
716,180.945
717,180.559
718,181.084
719,178.989
720,180.95
721,180.838
722,180.726
723,181.067
724,181.181
725,181.159
726,180.777
727,165.04
728,120.132
729,102.835
730,180.648
731,108.28
732,181.413
733,181.256
734,120.704
735,129.083
736,178.554
737,181.751
738,181.55
739,181.394
740,180.532
741,175.095
742,149.718
743,159.613
744,174.812
745,175.666
746,181.597
747,181.708
748,181.553
749,181.84
750,161.429
751,175.837
752,149.177
753,181.49
754,172.975
755,181.84
756,180.948
757,181.84
758,170.452
759,173.923
760,163.899
761,180.46
762,182.122
763,172.157
764,181.818
765,180.042
766,181.991
767,129.125
768,133.056
769,182.055
770,181.861
771,182.313
772,182.204
773,181.925
774,181.733
775,169.807
776,133.036
777,169.985
778,182.287
779,182.052
780,182.073
781,181.882
782,175.454
783,172.429
784,129.823
785,177.001
786,182.113
787,182.05
788,176.602
789,167.267
790,99.4837
791,147.465
792,174.104
793,182.09
794,182.655
795,181.714
796,182.234
797,159.496
798,169.896
799,174.416
800,182.191
801,182.502
802,182.314
803,182.293
804,174.973
805,176.729
806,150.711
807,182.332
808,181.941
809,182.372
810,180.361
811,167.251
812,95.7886
813,141.318
814,180.448
815,182.123
816,182.184
817,182.488
818,174.824
819,175.3
820,180.18
821,180.44
822,180.938
823,182.281
824,164.932
825,181.359
826,167.886
827,181.082
828,182.862
829,182.881
830,171.24
831,156.027
832,162.818
833,147.774
834,163.114
835,182.474
836,183.173
837,182.512
838,182.332
839,151.444
840,149.946
841,174.156
842,182.805
843,182.389
844,182.526
845,182.9
846,132.146
847,149.462
848,182.68
849,182.699
850,182.678
851,183.011
852,182.676
853,150.867
854,166.051
855,176.872
856,182.75
857,178.282
858,182.437
859,183.117
860,169.125
861,152.066
862,171.747
863,129.269
864,177.413
865,153.016
866,119.202
867,141.713
868,169.267
869,164.833
870,183.004
871,182.791
872,182.809
873,174.112
874,154.526
875,182.634
876,183.034
877,183.205
878,182.993
879,148.781
880,147.157
881,173.973
882,183.026
883,183.043
884,181.818
885,182.738
886,88.6887
887,103.056
888,174.906
889,168.659
890,183.015
891,140.736
892,160.634
893,165.34
894,163.766
895,182.765
896,183.87
897,183.136
898,174.742
899,180.849
900,181.378
901,182.722
902,182.37
903,181.289
904,183.293
905,140.834
906,145.589
907,180.498
908,181.636
909,182.934
910,181.782
911,182.127
912,150.545
913,148.214
914,177.786
915,155.48
916,140.88
917,164.366
918,126.116
919,162.655
920,174.672
921,183.796
922,183.519
923,183.535
924,183.297
925,129.661
926,176.886
927,182.015
928,181.996
929,178.414
930,181.641
931,164.4
932,177.389
933,183.698
934,183.894
935,183.874
936,177.845
937,94.3985
938,116.958
939,183.47
940,183.415
941,183.574
942,182.664
943,183.356
944,159.379
945,177.799
946,165.645
947,183.563
948,183.757
949,184.129
950,169.492
951,155.24
952,180.885
953,174.032
954,183.921
955,183.76
956,142.029
957,162.313
958,166.031
959,183.963
960,171.032
961,179.996
962,119.089
963,140.052
964,174.511
965,143.601
966,184.105
967,183.945
968,119.168
969,145.452
970,173.835
971,115.761
972,149.332
973,67.5694
974,174.333
975,163.043
976,174.848
977,184.027
978,170.235
979,98.0864
980,181.717
981,78.7004
982,178.74
983,151.909
984,130.073
985,181.5
986,130.199
987,182.812
988,184.191
989,113.639
990,180.033
991,177.981
992,140.809
993,174.119
994,126.254
995,182.535
996,177.256
997,125.488
998,133.726
999,87.4858
1000,184.196
1001,176.574
1002,117.316
1003,157.013
1004,111.829
1005,179.144
1006,182.843
1007,111.839
1008,183.406
1009,172.39
1010,175.043
1011,176.071
1012,142.495
1013,182.753
1014,171.429
1015,144.361
1016,174.002
1017,184.373
1018,167.05
1019,138.639
1020,168.456
1021,182.517
1022,184.078
1023,184.624
1024,184.272
1025,137.363
1026,166.802
1027,180.778
1028,178.194
1029,166.613
1030,172.877
1031,165.013
1032,163.862
1033,166.479
1034,183.268
1035,184.558
1036,180.74
1037,129.934
1038,165.603
1039,183.829
1040,184.725
1041,184.346
1042,180.652
1043,180.7
1044,184.55
1045,174.37
1046,179.079
1047,184.624
1048,184.637
1049,133.818
1050,164.68
1051,175.723
1052,173.569
1053,177.962
1054,178.553
1055,154.466
1056,176.029
1057,104.241
1058,179.14
1059,180.133
1060,132.766
1061,167.535
1062,177.473
1063,183.497
1064,178.374
1065,182.301
1066,164.735
1067,149.377
1068,183.6
1069,183.425
1070,183.596
1071,175.92
1072,161.276
1073,172.093
1074,178.94
1075,184.012
1076,179.573
1077,167.653
1078,141.563
1079,162.182
1080,166.667
1081,175.83
1082,176.884
1083,154.23
1084,130.054
1085,184.524
1086,182.89
1087,176.978
1088,170.908
1089,126.496
1090,175.439
1091,167.511
1092,176.414
1093,92.6664
1094,101.805
1095,105.573
1096,104.411
1097,93.7927
1098,107.258
1099,103.856
1100,97.9345
1101,106.552
1102,108.241
1103,104.303
1104,96.8506
1105,107.313
1106,107.473
1107,100.49
1108,100.837
1109,103.432
1110,139.045
1111,95.0792
1112,109.406
1113,109.623
1114,101.726
1115,73.4713
1116,175.306
1117,168.961
1118,106.598
1119,148.016
1120,114.297
1121,185.197
1122,183.633
1123,126.964
1124,137.644
1125,115.646
1126,181.437
1127,179.202
1128,100.535
1129,126.897
1130,103.879
1131,182.008
1132,175.776
1133,126.521
1134,116.487
1135,165.331
1136,151.851
